time,PriceUSD,volume_reported_spot_usd_1d
2022-10-19,7.36,3063233.67808
2022-10-20,7.35,3546847.7961
2022-10-21,7.51,2500361.14319
2022-10-22,9,5433247.548
2022-10-23,9.78,8523230.0487
2022-10-24,9.53,3214916.49068
2022-10-25,8.78,5087731.489619999
2022-10-26,9.21,4349411.687460001
2022-10-27,8.7,3467484.0582
2022-10-28,8.19,4347815.300009999
2022-10-29,7.97,2634757.54845
2022-10-30,7.81,2152528.9702399997
2022-10-31,7.93,1975546.9601399999
2022-11-01,8.2,1593596.1835999999
2022-11-02,7.39,2891127.09192
2022-11-03,7.24,792588.23412
2022-11-04,7.67,2498665.09633
2022-11-05,7.62,1365035.37
2022-11-06,7.32,1165277.8418400001
2022-11-07,7,1481525.115
2022-11-08,5.38,3553977.61092
2022-11-09,3.97,3004590.52173
2022-11-10,5.14,3125323.1019599997
2022-11-11,5.13,1255566.94596
2022-11-12,4.54,670807.0326200001
2022-11-13,4.21,717228.3563
2022-11-14,4.19,922465.2504900001
2022-11-15,4.34,1033529.9436
2022-11-16,4.54,1209868.5044
2022-11-17,4.66,902585.9215599999
2022-11-18,4.72,464505.53208
2022-11-19,4.6,180750.8498
2022-11-20,4.1,431841.2043
2022-11-21,4.05,407505.0627
2022-11-22,4.31,502804.35001999995
2022-11-23,4.44,1030839.65292
2022-11-24,4.42,429812.6456
2022-11-25,4.43,283488.73748999997
2022-11-26,4.77,1352163.8870099997
2022-11-27,4.79,696179.95557
2022-11-28,4.47,1039191.9071699999
2022-11-29,4.69,715263.90824
2022-11-30,4.78,1382638.9860399999
2022-12-01,4.66,960842.42692
2022-12-02,4.9,1281361.5493
2022-12-03,5.11,917154.61432
2022-12-04,5.19,905948.6813400001
2022-12-05,5.17,926869.41589
2022-12-06,5.03,1092377.13176
2022-12-07,4.82,682000.4100200001
2022-12-08,4.92,550630.4346
2022-12-09,4.82,221823.39382000003
2022-12-10,4.79,127053.29863
2022-12-11,4.66,244515.12562
2022-12-12,4.54,663864.18768
2022-12-13,4.64,629227.67632
2022-12-14,4.69,275823.83388000005
2022-12-15,4.66,370111.98152000003
2022-12-16,4.04,457213.1832
2022-12-17,4.08,586318.89696
2022-12-18,4.06,114157.88635999997
2022-12-19,3.8,244209.2914
2022-12-20,3.89,179998.53902000003
2022-12-21,3.77,735802.1383700001
2022-12-22,3.73,597625.09465
2022-12-23,3.75,180590.5425
2022-12-24,3.69,125896.92182999999
2022-12-25,3.57,284159.95839
2022-12-26,3.65,256430.19154999996
2022-12-27,3.6,195690.1932
2022-12-28,3.23,795335.44209
2022-12-29,3.23,629835.5231400001
2022-12-30,3.4,462109.2286
2022-12-31,3.46,262670.41184
2023-01-01,3.52,276801.15232000005
2023-01-02,3.75,410090.38125
2023-01-03,3.81,309113.23241999996
2023-01-04,3.82,472633.33528
2023-01-05,3.71,281026.14477
2023-01-06,3.86,363065.33136
2023-01-07,3.84,207176.80896
2023-01-08,3.92,1787213.5618399999
2023-01-09,5.2,3154798.0360000003
2023-01-10,5.47,2663999.7993099997
2023-01-11,5.3,1843447.1076999998
2023-01-12,6.48,5052769.93656
2023-01-13,6.82,4193439.17278
2023-01-14,7.72,5831872.762759999
2023-01-15,7.99,4069114.09743
2023-01-16,8.12,3302103.5193999996
2023-01-17,7.6,2023026.634
2023-01-18,7.63,4609325.14049
2023-01-19,7.87,3080927.2953999997
2023-01-20,10.95,9407880.5553
2023-01-21,11.74,12913230.454739999
2023-01-22,13.31,15066964.84139
2023-01-23,12.69,8486646.18705
2023-01-24,12.36,4588989.899999999
2023-01-25,18.4,16708319.768799998
2023-01-26,18.15,18751774.484849997
2023-01-27,17.74,10529378.82646
2023-01-28,17.83,8684645.56462
2023-01-29,18.33,9914409.988859998
2023-01-30,17.22,9032298.045119999
2023-01-31,16.74,5362990.13394
2023-02-01,18.25,10372509.64725
2023-02-02,17.23,8567332.73979
2023-02-03,17,6022118.726
2023-02-04,16.49,3168114.8000399997
2023-02-05,15.44,5424776.6044
2023-02-06,14.95,6348706.7072
2023-02-07,16.05,9637303.8093
2023-02-08,15.09,8586492.57534
2023-02-09,13.32,9063999.54072
2023-02-10,13.65,11571416.492999999
2023-02-11,13.89,10255872.973650001
2023-02-12,13.12,6347208.4912
2023-02-13,13.74,7841926.2013799995
2023-02-14,14.75,9989819.77575
2023-02-15,15.95,7954472.812549999
2023-02-16,14.7,10220353.869599998
2023-02-17,14.73,5378744.46264
2023-02-18,14.44,2180888.44864
2023-02-19,14.08,4578714.877440001
2023-02-20,14.23,2287762.25126
2023-02-21,13.43,2251995.07246
2023-02-22,13.89,4055007.4163100002
2023-02-23,13.46,2667285.00374
2023-02-24,12.85,2867140.5601500003
2023-02-25,12.24,3644092.7388
2023-02-26,12.64,1710809.47664
2023-02-27,12.4,1593022.3084
2023-02-28,11.89,1763753.8014000002
2023-03-01,13.46,3813733.6391400006
2023-03-02,12.86,2875238.14414
2023-03-03,11.73,3365039.98467
2023-03-04,11.28,1222262.87664
2023-03-05,11.15,1738619.04285
2023-03-06,11.29,1542728.3723999998
2023-03-07,11.13,4874012.793090001
2023-03-08,10.52,1557494.86836
2023-03-09,11.11,5260350.512339999
2023-03-10,10.83,6193160.13825
2023-03-11,10.48,4438880.933680001
2023-03-12,11.98,4098220.1341600004
2023-03-13,12.37,5469437.941469999
2023-03-14,13.6,9517513.566399999
2023-03-15,12.28,7093159.55168
2023-03-16,12.37,3717935.90848
2023-03-17,13.55,4625350.85985
2023-03-18,12.82,4398435.4529800005
2023-03-19,13.06,2169697.6983
2023-03-20,12.14,2212425.33396
2023-03-21,12.3,2031544.7151000001
2023-03-22,13.18,4914791.46194
2023-03-23,13.27,3591118.76123
2023-03-24,12.22,2576937.9584000004
2023-03-25,11.59,1288571.77262
2023-03-26,11.85,1221932.9187
2023-03-27,11.14,1877814.9466400002
2023-03-28,11.27,1193863.25331
2023-03-29,11.64,1353567.8178
2023-03-30,11.16,1994014.10484
2023-03-31,11.4,1593227.4287999999
2023-04-01,11.27,854093.80567
2023-04-02,12.17,3246214.6401099996
2023-04-03,11.33,2197382.05302
2023-04-04,11.47,1142120.4211300001
2023-04-05,11.55,1358060.2728
2023-04-06,11.47,1577340.7048200003
2023-04-07,11.16,555962.21748
2023-04-08,11.03,2821059.58084
2023-04-09,11.07,956789.4652200001
2023-04-10,11.47,3860822.6115900003
2023-04-11,11.74,4457571.612120001
2023-04-12,11.37,3576220.7104499997
2023-04-13,12.39,5484249.2607
2023-04-14,12.68,8007317.025719999
2023-04-15,12.55,2263539.3099
2023-04-16,12.6,3244968.2663999996
2023-04-17,12.31,2895997.1622900004
2023-04-18,12.72,2619114.7164000003
2023-04-19,11.31,6216384.31362
2023-04-20,11.04,3598894.5700799995
2023-04-21,10.16,2848914.82032
2023-04-22,10.32,1846126.0588800001
2023-04-23,10.23,1175584.93074
2023-04-24,10.23,1311889.1643
2023-04-25,10.37,1115295.68807
2023-04-26,10.04,1463378.1719199999
2023-04-27,10.18,1293483.04654
2023-04-28,10.16,486212.4896
2023-04-29,10.75,1694547.827
2023-04-30,10.3,1408041.9094
2023-05-01,9.92,865320.87584
2023-05-02,9.92,610908.35968
2023-05-03,10.02,1333051.9423200001
2023-05-04,9.68,368837.51431999996
2023-05-05,9.84,320554.56072
2023-05-06,9.22,864580.8088400001
2023-05-07,9.23,551422.12125
2023-05-08,8.32,2224063.0048
2023-05-09,8.37,619712.33922
2023-05-10,8.64,1921638.6950400001
2023-05-11,8.07,837041.27709
2023-05-12,8.31,1275730.0842900001
2023-05-13,8.27,334239.20355
2023-05-14,8.47,480758.34345000004
2023-05-15,8.62,970159.7344599998
2023-05-16,8.54,720104.2521399999
2023-05-17,8.71,561014.2530200001
2023-05-18,8.52,1079076.15612
2023-05-19,8.44,2120159.97072
2023-05-20,8.45,1655440.8350999998
2023-05-21,8.16,437117.91552000004
2023-05-22,8.1,1110073.7826
