time,PriceUSD,volume_reported_spot_usd_1d
2023-03-23,1.3305,14634699.145440001
2023-03-24,1.2771,25366509.793844998
2023-03-25,1.2201,10647066.718658999
2023-03-26,1.2838,8802352.413232
2023-03-27,1.1672,9800573.124815999
2023-03-28,1.2222,7668494.498069999
2023-03-29,1.2255,7033573.535295
2023-03-30,1.3807,21527301.906551998
2023-03-31,1.3907,9389514.759736001
2023-04-01,1.2942,6921551.437866
2023-04-02,1.2043,11355119.736759998
2023-04-03,1.1524,10149637.6765
2023-04-04,1.2357,10190539.657431
2023-04-05,1.2416,3514468.6144000003
2023-04-06,1.2153,2921483.6114100004
2023-04-07,1.197,2784700.3212
2023-04-08,1.1623,2997244.1289910004
2023-04-09,1.1821,1258274.0393390001
2023-04-10,1.2436,2972949.625252
2023-04-11,1.2182,3982378.564508
2023-04-12,1.1942,3835202.37877
2023-04-13,1.3703,18037572.164283
2023-04-14,1.6991,46140180.529729
2023-04-15,1.6559,18309912.577939
2023-04-16,1.6978,15368972.359259998
2023-04-17,1.6108,12088205.784936
2023-04-18,1.6723,13598619.902531998
2023-04-19,1.4897,13939735.345463999
2023-04-20,1.4417,13798401.159634
2023-04-21,1.4725,12520387.0771
2023-04-22,1.4649,10308513.619809002
2023-04-23,1.3419,6821792.003565
2023-04-24,1.3382,5766115.475114
2023-04-25,1.38,5177104.886399999
2023-04-26,1.3845,7751244.366060001
2023-04-27,1.4236,7653920.028288
2023-04-28,1.3811,7489046.073348
2023-04-29,1.3681,7010757.637144001
2023-04-30,1.3686,5263581.321324
2023-05-01,1.3196,3899296.7815440004
2023-05-02,1.3496,4759421.717512
2023-05-03,1.3431,3603895.343598
2023-05-04,1.3199,2153263.7811970003
2023-05-05,1.3568,4511813.8088960005
2023-05-06,1.2425,6536851.941199999
2023-05-07,1.2214,3319730.927516
2023-05-08,1.0965,9188748.673875
2023-05-09,1.1036,6703324.438324
2023-05-10,1.1725,12294294.336800002
2023-05-11,1.0895,8524458.763775
2023-05-12,1.1716,7715015.852368
2023-05-13,1.1706,2616690.596016
2023-05-14,1.1727,2343423.6135090003
2023-05-15,1.1892,3029373.229236
2023-05-16,1.1801,2263067.644742
2023-05-17,1.1979,2599374.815532
2023-05-18,1.1565,3559495.1638950002
2023-05-19,1.1645,1466375.6989350002
2023-05-20,1.1645,669666.161975
2023-05-21,1.1272,1593871.237872
2023-05-22,1.1257,2596175.197139
2023-05-23,1.1669,3747728.925906
2023-05-24,1.1091,4435708.853244
2023-05-25,1.1074,2555571.0438019997
2023-05-26,1.158,3293846.3501999998
2023-05-27,1.1733,2979768.705075
2023-05-28,1.25,6441048.512499999
2023-05-29,1.2281,12246579.464093
2023-05-30,1.2176,14996110.02544
2023-05-31,1.1613,4742224.780146
2023-06-01,1.1468,1506239.299208
2023-06-02,1.242,3296754.1063800002
2023-06-03,1.2163,1255092.951949
2023-06-04,1.2081,728751.7008539999
2023-06-05,1.1371,5557849.836259999
2023-06-06,1.1884,4427582.056716
2023-06-07,1.1264,4243781.983232
2023-06-08,1.1292,2224517.1796319997
2023-06-09,1.1312,1133091.558704
2023-06-10,0.994,9213927.07396
2023-06-11,0.993,2624335.7607299997
2023-06-12,0.9794,2816854.034362
2023-06-13,0.993,3623383.4385599997
2023-06-14,0.9416,4262790.672976
2023-06-15,0.95,2141340.7265
2023-06-16,0.9754,1723817.1435160001
2023-06-17,0.9937,1105569.1858909999
2023-06-18,0.9938,1683563.7050959999
2023-06-19,1.0078,1038477.260674
2023-06-20,1.084,3811848.8079600004
2023-06-21,1.1415,3558485.8569149994
2023-06-22,1.0895,4700172.433835
2023-06-23,1.1353,4157408.939985
2023-06-24,1.0804,1747647.8553400002
2023-06-25,1.1144,1350244.974176
2023-06-26,1.1409,4776970.958274
2023-06-27,1.2072,5373749.8660079995
2023-06-28,1.121,2444527.72942
2023-06-29,1.1292,1617717.010824
2023-06-30,1.1637,5656119.606126
2023-07-01,1.1519,1890465.013128
2023-07-02,1.1512,1408248.4203440002
2023-07-03,1.1692,2017264.1607040002
2023-07-04,1.1483,1164165.785508
2023-07-05,1.1122,1837715.1198260002
2023-07-06,1.0683,3236970.077559
2023-07-07,1.1322,1998974.0403180001
2023-07-08,1.1254,829029.972694
2023-07-09,1.1254,741675.355564
2023-07-10,1.1193,2605800.1995479995
2023-07-11,1.1276,2584961.8502519997
2023-07-12,1.1226,2273871.1590960003
2023-07-13,1.2242,8256572.388087999
2023-07-14,1.2152,11298932.650152
2023-07-15,1.2728,6487884.74236
2023-07-16,1.2727,5887004.721741
2023-07-17,1.3064,7570567.202112
2023-07-18,1.246,4942969.6311800005
2023-07-19,1.267,5076588.81562
2023-07-20,1.2619,3754173.598968
2023-07-21,1.233,2843410.7331900005
2023-07-22,1.226,923780.0763399999
2023-07-23,1.2516,770354.005092
2023-07-24,1.1863,5092424.861458
2023-07-25,1.1686,986344.2675500001
2023-07-26,1.1987,4503083.948455
2023-07-27,1.1725,792725.4678000001
2023-07-28,1.1731,811553.7004460001
2023-07-29,1.1823,264175.512069
2023-07-30,1.1577,1288796.0956799998
2023-07-31,1.1694,928448.720058
2023-08-01,1.1628,1277911.699956
2023-08-02,1.1329,1473692.191929
2023-08-03,1.1292,1906020.8655959999
2023-08-04,1.1565,3824212.0926150004
2023-08-05,1.1365,842904.0909000001
2023-08-06,1.1371,676948.4012219999
2023-08-07,1.1335,1661344.7434799997
2023-08-08,1.1596,1733575.062492
2023-08-09,1.1758,2058014.3451460002
2023-08-10,1.1589,1712493.156294
2023-08-11,1.1578,847854.0570779999
2023-08-12,1.1632,413034.488144
2023-08-13,1.1403,572299.362873
2023-08-14,1.1407,2359576.870684
2023-08-15,1.1289,1728476.220216
2023-08-16,1.0472,2825038.592376
2023-08-17,0.9852,5302712.973216
2023-08-18,1.0067,3921339.9200599995
2023-08-19,1.0227,1933338.506568
2023-08-20,1.0296,4207766.922216
2023-08-21,0.9936,3376162.968624
2023-08-22,0.9811,11573238.849857999
2023-08-23,1.0091,4936209.939141001
2023-08-24,0.9804,2354195.35302
2023-08-25,0.948,4032334.19184
2023-08-26,0.95,2246541.8835
2023-08-27,0.9579,804839.247222
2023-08-28,0.9501,2521004.441958
2023-08-29,0.9707,4453968.208606
2023-08-30,0.9422,3967833.34304
2023-08-31,0.9159,2574710.3125589998
2023-09-01,0.8848,1928043.3568479999
2023-09-02,0.8882,1135057.905628
2023-09-03,0.9047,1072010.4502309998
2023-09-04,0.8961,1092002.389026
2023-09-05,0.9011,985285.53783
2023-09-06,0.9014,1426468.83518
2023-09-07,0.9133,1970369.2840210001
2023-09-08,0.9011,2103599.648659
2023-09-09,0.8978,1307120.522912
2023-09-10,0.8441,2165279.191834
2023-09-11,0.7623,4295939.789988
2023-09-12,0.7826,3843909.0511639994
2023-09-13,0.786,3318802.1634600004
2023-09-14,0.8041,1880356.4659770003
2023-09-15,0.8084,1774897.041856
2023-09-16,0.8282,1355308.3289460002
2023-09-17,0.7955,1827553.82568
2023-09-18,0.8232,4452025.416048
2023-09-19,0.8649,4321438.011828
2023-09-20,0.8637,5258939.123136001
2023-09-21,0.8232,3588703.8828479997
2023-09-22,0.8401,3363599.2940229997
2023-09-23,0.8206,852540.6815419999
2023-09-24,0.8078,763704.031706
2023-09-25,0.8064,1047099.8522879999
2023-09-26,0.8264,829303.30848
2023-09-27,0.8183,1524533.062164
2023-09-28,0.8925,3362199.840825
