time,PriceUSD,volume_reported_spot_usd_1d
2020-01-14,4.558,1721659.155
2020-01-15,4.578,1444620.4038
2020-01-16,5.1,12027548.79
2020-01-17,5.002,7354171.9925999995
2020-01-18,4.628,1815217.3
2020-01-19,4.522,1030155.9156
2020-01-20,4.501,907742.3257000002
2020-01-21,4.645,1113273.1885
2020-01-22,4.65,648490.395
2020-01-23,4.462,1230598.1824
2020-01-24,4.482,1015397.5482000001
2020-01-25,4.38,643081.236
2020-01-26,4.484,888270.0868
2020-01-27,4.517,1261087.2273000001
2020-01-28,4.592,575305.9648
2020-01-29,4.39,1289008.043
2020-01-30,4.414,997118.6274
2020-01-31,4.399,1004776.9097
2020-02-01,4.378,1647468.1058
2020-02-02,4.407,1043276.1612000001
2020-02-03,4.27,779804.9069999999
2020-02-04,4.205,2224923.1084999996
2020-02-05,4.336,1668742.9872
2020-02-06,4.588,1821627.7784
2020-02-07,4.812,2638987.416
2020-02-08,4.638,1236729.657
2020-02-09,4.768,1004736.3232
2020-02-10,4.754,633241.3571999999
2020-02-11,5.149,2139084.0831999998
2020-02-12,5.123,2069618.7411000002
2020-02-13,4.93,1515787.1670000001
2020-02-14,5.118,987145.5096000001
2020-02-15,4.61,1389300.948
2020-02-16,4.406,1275591.1937999998
2020-02-17,4.278,878489.4389999999
2020-02-18,4.442,1483090.9622
2020-02-19,4.141,1373797.455
2020-02-20,4.471,1349735.8828
2020-02-21,4.996,3876235.0292
2020-02-22,5.038,3652029.0708
2020-02-23,4.829,1935707.5473999998
2020-02-24,4.416,2728233.9456
2020-02-25,4.063,1298967.1032
2020-02-26,3.643,1780816.0688999998
2020-02-27,3.683,1826286.2636
2020-02-28,3.547,712447.5824000001
2020-02-29,3.447,413064.0063
2020-03-01,3.346,857825.731
2020-03-02,3.704,1392435.8304
2020-03-03,3.628,660843.1024
2020-03-04,3.747,1478472.525
2020-03-05,3.755,1757822.142
2020-03-06,3.884,620451.9104
2020-03-07,3.611,631307.1579
2020-03-08,3.073,919374.9158999999
2020-03-09,3.046,1100606.0018
2020-03-10,3.069,721565.1729
2020-03-11,2.99,650131.2480000001
2020-03-12,1.67,1606364.316
2020-03-13,1.834,2737728.259
2020-03-14,1.833,957427.2239999999
2020-03-15,1.913,795624.9259
2020-03-16,1.682,559564.7324
2020-03-17,1.77,399935.571
2020-03-18,1.815,455057.889
2020-03-19,2.078,847300.1362
2020-03-20,2.162,2323631.5524
2020-03-21,2.169,495326.9385
2020-03-22,1.937,486551.5434
2020-03-23,2.111,591758.4754000001
2020-03-24,2.157,763556.6457
2020-03-25,2.1,405670.02
2020-03-26,2.193,608828.1162
2020-03-27,1.991,424837.3899
2020-03-28,1.979,603613.4047
2020-03-29,1.855,384015.05100000004
2020-03-30,1.96,326848.62
2020-03-31,1.958,158686.6974
2020-04-01,1.986,340679.23439999996
2020-04-02,1.989,386458.3242
2020-04-03,1.984,177206.5152
2020-04-04,2.028,185698.07880000002
2020-04-05,2.07,359686.9259999999
2020-04-06,2.413,1444204.1474
2020-04-07,2.35,854467.52
2020-04-08,2.509,646653.8533
2020-04-09,2.584,974883.2511999999
2020-04-10,2.314,951864.3628
2020-04-11,2.315,418950.8745
2020-04-12,2.294,320545.208
2020-04-13,2.267,328762.60699999996
2020-04-14,2.355,522777.972
2020-04-15,2.276,343248.11199999996
2020-04-16,2.428,736709.1016
2020-04-17,2.376,245989.656
2020-04-18,2.518,469399.26499999996
2020-04-19,2.39,287484.25700000004
2020-04-20,2.275,439992.50749999995
2020-04-21,2.28,198795.25199999998
2020-04-22,2.4,348396.24
2020-04-23,2.424,547069.6512
2020-04-24,2.751,2064845.8550999998
2020-04-25,2.871,2183888.7378000002
2020-04-26,2.81,1058027.9440000001
2020-04-27,2.77,1097124.149
2020-04-28,2.8,617501.9199999999
2020-04-29,2.935,1083316.131
2020-04-30,2.743,1332060.8717
2020-05-01,2.836,573424.1692
2020-05-02,2.883,357890.1423
2020-05-03,2.776,460972.2887999999
2020-05-04,2.761,821061.4863
2020-05-05,2.715,569263.824
2020-05-06,2.628,489569.5944
2020-05-07,2.728,764992.0344
2020-05-08,2.809,1183378.6099
2020-05-09,2.749,961637.3115000001
2020-05-10,2.523,1242744.0180000002
2020-05-11,2.396,743683.6579999999
2020-05-12,2.486,529349.4492
2020-05-13,2.551,610289.2503
2020-05-14,2.531,589024.6971
2020-05-15,2.475,536794.5825
2020-05-16,2.559,429825.24990000005
2020-05-17,2.545,421960.74549999996
2020-05-18,2.598,526127.475
2020-05-19,2.619,559828.5354
2020-05-20,2.71,786113.819
2020-05-21,2.506,1146249.6626
2020-05-22,2.648,646045.5352
2020-05-23,2.594,397648.527
2020-05-24,2.496,338130.624
2020-05-25,2.61,542804.571
2020-05-26,2.587,376367.8841
2020-05-27,2.602,608611.1826
2020-05-28,2.672,530783.1808
2020-05-29,2.679,401596.2986999999
2020-05-30,2.821,873419.6835
2020-05-31,2.71,631049.787
2020-06-01,2.86,719016.5839999999
2020-06-02,2.765,1062380.466
2020-06-03,2.904,604945.8888000001
2020-06-04,3.103,2211394.2199000004
2020-06-05,3.094,1404686.5196
2020-06-06,3.057,714520.5582
2020-06-07,3.021,1095419.1315
2020-06-08,3.16,755902.6520000001
2020-06-09,3.12,706879.68
2020-06-10,3.112,852777.3144
2020-06-11,2.758,1205440.9906000001
2020-06-12,2.858,675971.5878000001
2020-06-13,2.867,397175.5445
2020-06-14,2.751,423759.0882
2020-06-15,2.706,941401.164
2020-06-16,2.725,355971.9275
2020-06-17,2.697,488222.26740000007
2020-06-18,2.639,257896.27499999997
2020-06-19,2.598,429160.50239999994
2020-06-20,2.619,374725.4724
2020-06-21,2.595,290497.275
2020-06-22,2.688,486161.6256000001
2020-06-23,2.772,1288346.598
2020-06-24,2.674,918627.5643999999
2020-06-25,2.619,639735.7968000001
2020-06-26,2.618,873185.7287999999
2020-06-27,2.431,1261474.3427000002
2020-06-28,2.51,598364.9239999999
2020-06-29,2.635,1230771.6099999999
2020-06-30,2.594,487181.47459999996
2020-07-01,2.661,485334.7341
2020-07-02,2.657,845451.0231999999
2020-07-03,2.684,1135141.7044
2020-07-04,2.777,729708.9576
2020-07-05,2.933,2592223.5289999996
2020-07-06,3.02,2605685.898
2020-07-07,3.25,2397253.625
2020-07-08,3.556,4601831.6904
2020-07-09,3.791,3951846.0644
2020-07-10,4.053,8644634.3781
