time,PriceUSD,volume_reported_spot_usd_1d
2021-09-30,66.73,25707402.65361
2021-10-01,67.79,35338645.53592
2021-10-02,69.14,44590253.33312
2021-10-03,69.54,26562750.60678
2021-10-04,65.37,24358605.48327
2021-10-05,64.69,25048567.80568
2021-10-06,60.11,25295628.81366
2021-10-07,61.43,25420170.64444
2021-10-08,60.45,26036504.0091
2021-10-09,60.62,10593601.361979999
2021-10-10,56.88,12445000.786079999
2021-10-11,55.34,18452899.758440003
2021-10-12,54.3,16682597.687999997
2021-10-13,55.07,21881031.49694
2021-10-14,56.28,19966396.89996
2021-10-15,56.37,17983491.44862
2021-10-16,57.57,18948172.07208
2021-10-17,56.12,11192383.84396
2021-10-18,55.53,8895347.64585
2021-10-19,56.84,12635537.22928
2021-10-20,59.63,18613190.07101
2021-10-21,61.5,22604821.9815
2021-10-22,65.59,51025329.77542
2021-10-23,65.41,22924710.64314
2021-10-24,64.71,18736297.375139996
2021-10-25,69.8,25286795.488599997
2021-10-26,68.91,42534336.68724
2021-10-27,62.02,42018986.43474
2021-10-28,64.47,27831322.81755
2021-10-29,64.81,20667326.48772
2021-10-30,62.51,15673410.03193
2021-10-31,64.66,21008555.87086
2021-11-01,65.09,20560837.22764
2021-11-02,67.89,37992768.06261
2021-11-03,76.48,83532763.27264002
2021-11-04,79.6,80291156.9296
2021-11-05,74.26,40765696.52816
2021-11-06,78.6,33132451.277399994
2021-11-07,87.91,97958693.73346
2021-11-08,91.52,126588097.20128
2021-11-09,88.9,64155349.349700004
2021-11-10,85.8,86937404.8686
2021-11-11,88.61,54699797.4533
2021-11-12,84.97,55502938.97112
2021-11-13,97.78,82406094.89434
2021-11-14,95.85,80572160.91735
2021-11-15,93.9,99614997.67050001
2021-11-16,97.72,157746890.9478
2021-11-17,107.97,185905291.71666
2021-11-18,100.7,169608436.61420003
2021-11-19,112.31,133657168.71144001
2021-11-20,126.03,228638360.97072
2021-11-21,128.67,316105940.18691
2021-11-22,135.29,327405046.96
2021-11-23,123.86,200033526.68596
2021-11-24,115.26,195936928.32948
2021-11-25,119.3,184938605.05589998
2021-11-26,104.48,162089973.81408
2021-11-27,113.75,113814655.04499999
2021-11-28,110.63,113092961.88528
2021-11-29,120.84,114410111.93796
2021-11-30,121.22,180820102.84579998
2021-12-01,119.76,165283661.13816002
2021-12-02,107.83,130356244.80458999
2021-12-03,108.51,177443658.67359
2021-12-04,93.08,218093954.44148
2021-12-05,86.52,143916690.54839998
2021-12-06,93.1,198694199.03129998
2021-12-07,89.65,113046873.67490001
2021-12-08,93.31,85352220.59567
2021-12-09,85.47,118447330.18503
2021-12-10,80.78,96898423.00194001
2021-12-11,86.55,81503561.6928
2021-12-12,88.08,54610953.96576
2021-12-13,79.14,125035922.07426
2021-12-14,87.26,120763937.20924
2021-12-15,101.3,291095645.7606
2021-12-16,98.29,194743026.34404
2021-12-17,110.79,232854108.39135
2021-12-18,115.94,167634422.52018
2021-12-19,107.6,94985379.71519999
2021-12-20,113.55,195892938.24675
2021-12-21,123.27,176336772.75438
2021-12-22,116.66,153295594.45115998
2021-12-23,121.37,141701911.26001
2021-12-24,114.93,110834764.36038001
2021-12-25,114.86,108638223.20414
2021-12-26,115.07,109873574.5826
2021-12-27,113.96,81571586.69044
2021-12-28,107.05,159557922.232
2021-12-29,103.11,108062269.57134
2021-12-30,101.73,122543238.76889999
2021-12-31,109.4,151271724.821
2022-01-01,114.26,67608883.89194
2022-01-02,113.21,71074877.16759
2022-01-03,108.09,82639635.00165
2022-01-04,103.3,85668037.96169999
2022-01-05,97.36,120495582.12488
2022-01-06,95.14,95571409.28552
2022-01-07,86.79,139388986.6347
2022-01-08,83.91,106915165.09550999
2022-01-09,89.34,82193109.5631
2022-01-10,84.46,105179439.61369999
2022-01-11,89.66,71927169.64808
2022-01-12,96.02,89030638.9064
2022-01-13,89.76,70917455.85408
2022-01-14,90.41,63507081.08496
2022-01-15,93.08,45689762.41544
2022-01-16,92.34,39505412.30274
2022-01-17,86.68,60393520.88836
2022-01-18,86.02,50866527.97072
2022-01-19,82.64,47399794.55376
2022-01-20,79.35,57291790.98314999
2022-01-21,66.07,156193307.96366
2022-01-22,59.8,176126950.6334
2022-01-23,64.85,121356098.42024998
2022-01-24,63.05,131171382.2367
2022-01-25,68.08,119531195.78152
2022-01-26,65.89,146040416.80426002
2022-01-27,64.73,103436411.35395001
2022-01-28,67.06,73334612.67664
2022-01-29,71.95,84995953.2784
2022-01-30,67.98,58101641.02248
2022-01-31,69.92,90354220.96448
2022-02-01,73.37,118348961.68172
2022-02-02,67.87,102596542.01940002
2022-02-03,68.49,80702625.79611
2022-02-04,77.91,108648768.31074
2022-02-05,77.09,85157009.19778
2022-02-06,79.05,49127592.5841
2022-02-07,83.23,104818101.43581001
2022-02-08,86.45,174368326.96920002
2022-02-09,90.18,94396081.02138
2022-02-10,91.18,162484987.80094
2022-02-11,81.81,124269264.42165
2022-02-12,81.34,113021726.56866
2022-02-13,77.97,61533979.04682
2022-02-14,81.84,95209637.41344
2022-02-15,93.07,114656412.42195
2022-02-16,95.39,172064136.6882
2022-02-17,88.28,170611293.51504
2022-02-18,83.75,139373765.82
2022-02-19,85.07,68832331.46572
2022-02-20,77.39,88687693.2471
2022-02-21,70.08,137222778.3072
2022-02-22,74.42,122126755.61978
2022-02-23,73.5,148973843.82299998
2022-02-24,76.41,313397948.86704
2022-02-25,81.05,144818790.76064998
2022-02-26,81.79,118359067.92941001
2022-02-27,75.09,133636680.23511001
2022-02-28,84.59,175435902.25843
2022-03-01,86.96,193657703.04176
2022-03-02,83.43,127946729.90772001
2022-03-03,78.49,113292690.4814
2022-03-04,75.82,136762586.17986
2022-03-05,76.71,69703219.23284999
2022-03-06,72.47,69019201.15537
2022-03-07,71.75,91813509.75649999
2022-03-08,72.98,101296386.90874001
2022-03-09,77.65,134922100.3791
2022-03-10,73.95,92445702.09030001
2022-03-11,71.25,113713712.29875
2022-03-12,70.94,32763226.1292
2022-03-13,67.97,40369453.50214
2022-03-14,68.98,78474826.94330001
2022-03-15,69.83,63835214.81709
2022-03-16,74.12,104275151.94308
2022-03-17,79.47,127597654.32957
2022-03-18,85.76,130188900.89728001
2022-03-19,89.58,119989791.21828
2022-03-20,84.85,82690008.8476
2022-03-21,86.22,117660053.67912
2022-03-22,83.98,129549040.07266
2022-03-23,86.01,91920708.86382
2022-03-24,87.61,102877255.0224
2022-03-25,83.58,85157997.42072
2022-03-26,85.96,51449734.38751999
2022-03-27,89.91,57115339.45803
2022-03-28,89.58,139915624.04351997
2022-03-29,92.79,124206265.22175
2022-03-30,95.57,170181672.36398
2022-03-31,97.42,184334150.62788
2022-04-01,96.87,161078484.69264
2022-04-02,96.25,118498007.41624999
2022-04-03,98.06,103131319.30358
2022-04-04,96.2,112529421.9582
2022-04-05,91.07,89743661.61991999
2022-04-06,82.99,136866673.63034
2022-04-07,87.58,112402414.4859
2022-04-08,83.69,94770260.32323
2022-04-09,84.56,40987906.11888
2022-04-10,80.99,32269377.96628
2022-04-11,74.37,93969753.14970002
2022-04-12,76.36,70023893.15556
2022-04-13,80.25,56919126.39075
2022-04-14,76.84,56681701.346760005
2022-04-15,77.44,33502799.439999998
2022-04-16,77.78,16531146.604980001
2022-04-17,75.45,17903922.2364
2022-04-18,77.73,52111759.89183
2022-04-19,80.28,43571311.94484
2022-04-20,78.24,45361489.04592
2022-04-21,75.03,41911084.08054
2022-04-22,74.01,31413994.480800003
2022-04-23,72.81,21939070.6107
2022-04-24,71.54,16211822.480000002
2022-04-25,72.91,68525384.49912
2022-04-26,68.7,44560367.1927
2022-04-27,69.85,30868210.9076
2022-04-28,67.28,37656673.92808
2022-04-29,63.4,36690712.0704
2022-04-30,57.01,43889697.67733
2022-05-01,58.76,53612879.42971999
2022-05-02,60.31,65897219.539869994
2022-05-03,59.63,38010568.36865
2022-05-04,67.28,52262993.45896
2022-05-05,59.02,79073848.76923999
2022-05-06,57,49059148.398
2022-05-07,55.03,29656977.649510004
2022-05-08,51.57,51656105.70702
2022-05-09,41.21,102733363.71207
2022-05-10,44.54,123786258.10276
2022-05-11,31.1,198856723.1283
2022-05-12,30.19,144367968.07889
2022-05-13,32.17,100467395.96002
2022-05-14,33.89,48503034.89519
2022-05-15,36.54,54427446.6624
2022-05-16,32.49,69727700.86434
2022-05-17,34.38,40193931.80232
2022-05-18,29.57,35370722.71174
2022-05-19,30.37,62295423.02601001
2022-05-20,28.76,54704780.54996
