time,PriceUSD,volume_reported_spot_usd_1d
2023-12-14,2.361e-05,70265495.22224478
2023-12-15,2.364e-05,219051263.09556374
2023-12-16,2.175e-05,90751503.32527725
2023-12-17,2.28e-05,60513458.81980319
2023-12-18,2.087e-05,61871788.06399375
2023-12-19,1.895e-05,42843544.6396991
2023-12-20,1.892e-05,65183074.16754583
2023-12-21,2.071e-05,69167239.83637734
2023-12-22,1.936e-05,48741146.881907046
2023-12-23,1.988e-05,31473901.25218276
2023-12-24,1.815e-05,24112618.4480214
2023-12-25,1.869e-05,17379124.34238876
2023-12-26,1.616e-05,28650627.806579363
2023-12-27,1.453e-05,27428967.47393293
2023-12-28,1.488e-05,54189669.37342608
2023-12-29,1.496e-05,44447125.48206216
2023-12-30,1.405e-05,18326547.51526945
2023-12-31,1.333e-05,15623170.94314519
2024-01-01,1.501e-05,20293031.39533557
2024-01-02,1.344e-05,25742002.10042496
2024-01-03,1.163e-05,18298541.10177182
2024-01-04,1.194e-05,14548488.2352384
2024-01-05,1.118e-05,11620602.60365056
2024-01-06,1.075e-05,9480269.53852025
2024-01-07,1.03e-05,8733100.8312742
2024-01-08,1.214e-05,23800886.99128774
2024-01-09,1.422e-05,60358835.38743738
2024-01-10,1.619e-05,101793347.49393767
2024-01-11,1.614e-05,53781635.78169912
2024-01-12,1.378e-05,34895032.84536594
2024-01-13,1.528e-05,38820394.336149596
2024-01-14,1.421e-05,28138915.01049181
2024-01-15,1.358e-05,19801468.73102258
2024-01-16,1.405e-05,16557444.0513028
2024-01-17,1.342e-05,18372729.97235192
2024-01-18,1.205e-05,14046998.77887905
2024-01-19,1.191e-05,14389743.269719139
2024-01-20,1.166e-05,5581227.33077932
2024-01-21,1.138e-05,6325583.414884959
2024-01-22,1.043e-05,13569277.67368824
2024-01-23,1.081e-05,19190011.58929781
2024-01-24,1.105e-05,14973022.3146309
2024-01-25,1.128e-05,10887237.76975416
2024-01-26,1.182e-05,14921978.504179321
2024-01-27,1.164e-05,6577498.02510372
2024-01-28,1.157e-05,13103830.45317463
2024-01-29,1.201e-05,10975184.05784937
2024-01-30,1.125e-05,10569445.862175
2024-01-31,1.064e-05,9107181.402758319
2024-02-01,1.075e-05,8052840.42458375
2024-02-02,1.053e-05,5737306.891859011
2024-02-03,1.033e-05,2727283.6074697
