time,PriceUSD,volume_reported_spot_usd_1d
2020-12-09,30.6047,10740702.8160432
2020-12-10,30.5167,31724187.501586303
2020-12-11,29.874,16760346.714306
2020-12-12,29.9575,7117956.2530325
2020-12-13,29.9978,4805084.261311601
2020-12-14,29.4081,5327421.238241401
2020-12-15,29.1481,5842371.9439728
2020-12-16,28.4708,5529627.0759752
2020-12-17,28.4772,2834490.9452172
2020-12-18,28.4748,2360613.9400775996
2020-12-19,28.2158,2178384.1352464
2020-12-20,28.36,1555876.56416
2020-12-21,24.9632,5677139.1069664
2020-12-22,24.638,13409683.040626002
2020-12-23,22.2628,5726177.609123999
2020-12-24,23.6668,7279875.256484
2020-12-25,24.3457,6635542.604339801
2020-12-26,23.569,796635.6175049999
2020-12-27,22.2144,2934328.2860736
2020-12-28,21.9594,4874064.1977683995
2020-12-29,20.4448,5541192.3962208
2020-12-30,21.4873,4889402.7981008
2020-12-31,24.3772,12902077.8863912
2021-01-01,22.2843,5620084.2593139
2021-01-02,21.8066,4052762.497782
2021-01-03,21.4395,3938817.1942334995
2021-01-04,21.4181,5760428.837064
2021-01-05,21.6921,4924146.6568482
2021-01-06,22,5443685.214
2021-01-07,22.0607,8996744.265300501
2021-01-08,21.6131,4499331.1046541
2021-01-09,22.0729,3723177.8393096
2021-01-10,23.4112,15037850.827456001
2021-01-11,21.6727,8371195.5654005
2021-01-12,21.0025,3243988.3301175004
2021-01-13,21.6968,3599821.31748
2021-01-14,21.5627,4229001.3779687
2021-01-15,21.5415,4388116.6213335
2021-01-16,22.8306,14309888.168737201
2021-01-17,24.3273,24249942.7134585
2021-01-18,23.7908,6987745.3455964
2021-01-19,22.6716,7554453.464132401
2021-01-20,22.3628,5460366.2024544
2021-01-21,21.3136,4847051.547553601
2021-01-22,22.2718,10584170.5872792
2021-01-23,22.7293,5561357.847056
2021-01-24,22.7233,2841839.3414535997
2021-01-25,22.4103,3157926.0450738
2021-01-26,22.2077,2624193.2571686
2021-01-27,21.476,3663691.99196
2021-01-28,21.949,1783406.7985470002
2021-01-29,22.2949,5132624.2828126
2021-01-30,22.0564,3338120.9614791996
2021-01-31,22.2541,3501862.2033329
2021-02-01,22.6291,8310111.4574036
2021-02-02,22.4893,3679988.1635478
2021-02-03,23.0994,5759136.5638518
2021-02-04,22.9162,6609739.503094
2021-02-05,24.5047,20611146.648699198
2021-02-06,24.276,10383359.074368
2021-02-07,24.0864,5533932.679142401
2021-02-08,27.7635,23762727.4268565
2021-02-09,44.241,186824150.229744
2021-02-10,39.7953,110965620.11369759
2021-02-11,40.3378,51771404.5166224
2021-02-12,42.7706,50120913.8331924
2021-02-13,41.6303,32029041.6737015
2021-02-14,47.2243,84130043.27292429
2021-02-15,42.9782,76565676.3653728
2021-02-16,41.8797,22580636.7161493
2021-02-17,43.1969,18230394.3593226
2021-02-18,43.5,14346361.683
2021-02-19,43.2083,15085453.341808999
2021-02-20,43.0788,44535275.3164068
2021-02-21,44.6914,16763927.2406658
2021-02-22,39.3771,35748693.1040358
2021-02-23,35.47,42954917.31743
2021-02-24,36.6166,15961384.581386799
2021-02-25,34.9078,9446154.879783
2021-02-26,35.1334,9150700.122524401
2021-02-27,37.9736,8396431.1365144
2021-02-28,36.0063,6699222.718848
2021-03-01,38.6431,9221918.761098798
2021-03-02,38.2275,6419737.81197
2021-03-03,42.06,20636315.96052
2021-03-04,40.737,7692992.085999
2021-03-05,40.4906,5665008.4657850005
2021-03-06,40.395,10440539.083335001
2021-03-07,41.4285,3631237.2320925
2021-03-08,41.5473,8529205.5808758
2021-03-09,41.9894,9329100.338394001
2021-03-10,42.5195,8838993.713369
2021-03-11,42.2957,6399916.7040093
2021-03-12,44.0522,12247831.4479642
2021-03-13,49.4233,24740138.479739398
