time,PriceUSD,volume_reported_spot_usd_1d
2020-12-17,0.1227,19522917.682812
2020-12-18,0.2617,210540016.79648098
2020-12-19,0.4785,418174399.325265
2020-12-20,0.7453,540849732.912697
2020-12-21,0.4722,219559906.890342
2020-12-22,0.5461,208138781.572379
2020-12-23,0.4111,125068702.16733502
2020-12-24,0.4101,90623394.553038
2020-12-25,0.3592,55826619.287815996
2020-12-26,0.4855,164537269.15205002
2020-12-27,0.396,103937494.64868002
2020-12-28,0.3804,71158628.29784401
2020-12-29,0.373,55291178.391789995
2020-12-30,0.3747,44884011.85425
2020-12-31,0.3513,23649948.457326
2021-01-01,0.3622,28320153.756990004
2021-01-02,0.3278,27578322.601368
2021-01-03,0.2991,50538479.340021
2021-01-04,0.3096,50476848.935399994
2021-01-05,0.3385,51455146.25595
2021-01-06,0.3706,76086379.040338
2021-01-07,0.3459,46785698.706534
2021-01-08,0.3292,40187107.961152
2021-01-09,0.3493,33254059.200796
2021-01-10,0.3266,30820180.964782
2021-01-11,0.2904,36699716.073504
2021-01-12,0.277,16671488.602110002
2021-01-13,0.3247,28913882.843297
2021-01-14,0.3332,32248587.363215998
2021-01-15,0.3378,36550474.18227
2021-01-16,0.4658,97947540.652222
2021-01-17,0.5193,125727412.80653098
2021-01-18,0.6181,141590224.75997698
2021-01-19,0.5398,89147845.26301599
2021-01-20,0.5232,58186617.11424
2021-01-21,0.4356,48621906.884232
2021-01-22,0.5106,73643792.02557601
2021-01-23,0.5848,54889359.883296
2021-01-24,0.5561,41769780.397256
2021-01-25,0.5295,31910154.89055
2021-01-26,0.5371,28779299.096218
2021-01-27,0.4852,27078388.076468002
2021-01-28,0.5585,40933117.031995
2021-01-29,0.5536,74936504.115744
2021-01-30,0.6377,68805711.38842101
2021-01-31,0.7947,140078702.21296498
2021-02-01,0.7841,96317908.73336099
2021-02-02,0.7522,55952239.78267799
2021-02-03,0.827,60084641.35908
2021-02-04,0.8169,64968658.532483995
2021-02-05,0.9522,117406043.155494
2021-02-06,0.8679,52683591.531549
2021-02-07,0.9179,66467813.402619004
2021-02-08,0.9692,70613628.971864
2021-02-09,1.053,49501477.065689996
2021-02-10,1.2698,165240415.44211602
2021-02-11,2.0377,615944595.21119
2021-02-12,2.242,681647123.27396
2021-02-13,2.339,209920849.94336998
2021-02-14,2.1651,203222887.82292
2021-02-15,2.1413,282424656.88906
2021-02-16,2.0662,114654252.90927999
2021-02-17,2.1824,146250942.348544
2021-02-18,2.2949,136041325.722539
2021-02-19,2.1653,98837729.353781
2021-02-20,2.2864,238715515.485264
2021-02-21,2.3076,110916745.88346
2021-02-22,2.0232,217610494.217208
2021-02-23,1.7034,286957887.235002
2021-02-24,1.8975,155546674.261275
2021-02-25,1.7213,87227627.866309
2021-02-26,1.7284,93469256.049316
2021-02-27,1.6858,49253089.184744
2021-02-28,1.5945,77678240.29326001
2021-03-01,1.927,84477500.85205
2021-03-02,1.8328,82784895.01681599
2021-03-03,1.9519,83908911.17712
2021-03-04,1.8558,60116585.831406
2021-03-05,1.8266,52751566.425016
2021-03-06,1.7955,29248295.196015
2021-03-07,1.8773,41077128.742355004
2021-03-08,1.9065,43272217.004745
2021-03-09,2.1202,108533508.917622
2021-03-10,2.0296,70098446.73836799
2021-03-11,1.9107,57932950.646241
2021-03-12,1.736,75049274.29944
2021-03-13,1.7934,61725503.986902006
2021-03-14,1.7312,35636339.80128
2021-03-15,1.7168,42139150.705888
2021-03-16,1.7134,39900474.880786
2021-03-17,1.7191,28587941.560789
2021-03-18,1.692,42514178.84208
2021-03-19,1.6901,28550301.820514996
2021-03-20,1.721,42051532.85439
2021-03-21,1.7,25799996.994
2021-03-22,1.545,35123337.39195
2021-03-23,1.5031,29356247.518001005
2021-03-24,1.3913,32875979.822242
2021-03-25,1.3404,42062906.070996
2021-03-26,1.555,32846258.593399998
2021-03-27,1.4674,29447646.819844
2021-03-28,1.8151,76425048.38093299
2021-03-29,1.7706,54141608.47133999
2021-03-30,1.7618,50004488.99284
2021-03-31,1.7199,35191652.533128
2021-04-01,1.7733,38822827.37455501
2021-04-02,1.8873,43295928.982236
2021-04-03,1.6805,35498468.714635
2021-04-04,1.7586,15152730.150833998
2021-04-05,1.8278,35210440.17192
2021-04-06,1.7648,27616983.127216
2021-04-07,1.655,35488149.443
2021-04-08,1.7491,14064531.378095001
2021-04-09,1.7389,18158072.293112997
2021-04-10,1.8882,38197761.779034
2021-04-11,1.8975,22899166.107675
2021-04-12,2.0133,88095770.212743
2021-04-13,1.9232,43139605.931168
2021-04-14,2.0227,65358886.76061
2021-04-15,2.1015,56070357.33033
2021-04-16,1.9912,53049464.519544005
2021-04-17,1.9335,36484363.189275
2021-04-18,1.707,97314363.40968001
2021-04-19,1.5593,32699278.008964
2021-04-20,1.591,36412363.63533
2021-04-21,1.5266,30808705.943910003
2021-04-22,1.4105,37014253.549
2021-04-23,1.3984,65190909.492704004
2021-04-24,1.2579,17676745.904181
2021-04-25,1.26,17088634.5084
2021-04-26,1.4613,30666948.357996
2021-04-27,1.56,23365694.1648
2021-04-28,1.5362,36568817.0088
2021-04-29,1.4976,21826597.089024
2021-04-30,1.5597,24886812.598353002
2021-05-01,1.6779,33702793.625445
2021-05-02,1.6111,21259811.363489
2021-05-03,1.5908,28811257.03092
2021-05-04,1.4327,41390683.171432
2021-05-05,1.5377,33011155.985223
2021-05-06,1.6057,49949026.325233996
2021-05-07,1.6022,47430259.53716
2021-05-08,1.5883,27495045.623478997
2021-05-09,1.5351,29388112.331087995
2021-05-10,1.3852,40909845.27118
2021-05-11,1.4624,36605802.324127994
2021-05-12,1.292,44815820.2808
2021-05-13,1.3148,49291287.438028
2021-05-14,1.3664,27317349.212608
2021-05-15,1.3171,54992852.868791
2021-05-16,1.2992,36557056.962944
2021-05-17,1.1955,42990841.099545
2021-05-18,1.2258,38390111.32959
2021-05-19,0.7503,56534105.622909
2021-05-20,0.9083,46642162.920429
2021-05-21,0.8532,50713888.314492
2021-05-22,0.7899,28680612.285039
2021-05-23,0.6519,45499600.91420101
2021-05-24,0.8266,57659462.211009994
2021-05-25,0.8235,42371564.53932
2021-05-26,0.8424,46417637.24676
2021-05-27,0.7722,43009984.580706
2021-05-28,0.6514,47897709.66026
2021-05-29,0.6292,23385045.756644
2021-05-30,0.7392,28438467.502368
2021-05-31,0.7935,48605558.879295
2021-06-01,0.7703,18819261.455507
2021-06-02,0.766,12297604.18696
2021-06-03,0.9509,43543203.43755
2021-06-04,0.8018,39818270.501169994
2021-06-05,0.7521,12886065.857228998
2021-06-06,0.7833,12427182.546051001
2021-06-07,0.6989,17055535.63099
2021-06-08,0.6927,24320084.424609
2021-06-09,0.7093,20351050.820257
2021-06-10,0.6629,14469621.620083
2021-06-11,0.6144,10790019.907583999
2021-06-12,0.6028,12149130.966412
2021-06-13,0.6851,13028876.651011001
2021-06-14,0.6824,23466024.336080004
2021-06-15,0.7158,23879474.653686002
2021-06-16,0.6813,25843132.017684
2021-06-17,0.6859,14966884.566273998
2021-06-18,0.6097,11901333.043691002
2021-06-19,0.6011,9885805.632506998
2021-06-20,0.6422,14092870.734539999
2021-06-21,0.5048,18699991.5398
2021-06-22,0.4941,24623376.167241
2021-06-23,0.6012,25030961.404811997
2021-06-24,0.6014,12629458.245590001
2021-06-25,0.5257,11445355.027665999
2021-06-26,0.5436,11272037.077367999
2021-06-27,0.5592,8478197.947848
2021-06-28,0.5715,11282508.61731
2021-06-29,0.579,18179967.26301
2021-06-30,0.5911,12118032.260757
2021-07-01,0.5364,11094997.193388
2021-07-02,0.6025,13095670.260750001
2021-07-03,0.6769,29044336.316260997
2021-07-04,0.7261,31310148.036254
2021-07-05,0.7325,42156384.612075
2021-07-06,0.7014,26151910.408974
2021-07-07,0.7055,15579703.166395001
2021-07-08,0.6553,15435522.30032
2021-07-09,0.6916,12870477.642204002
2021-07-10,0.6858,10391323.148478
2021-07-11,0.7132,10551506.936999999
2021-07-12,0.6704,10850358.53544
2021-07-13,0.6336,7567684.768512
2021-07-14,0.6384,8658292.888223998
2021-07-15,0.6,8234137.494
2021-07-16,0.5803,6246012.823302001
2021-07-17,0.5595,5033209.658775
2021-07-18,0.5513,4862656.683644
2021-07-19,0.507,6843189.46584
2021-07-20,0.492,8876746.58712
2021-07-21,0.5574,8765621.50938
2021-07-22,0.5597,8443948.505131999
2021-07-23,0.5568,8778963.187776
2021-07-24,0.55,13708402.081000002
2021-07-25,0.5425,13923233.818024999
2021-07-26,0.5498,26423544.027742
2021-07-27,0.5672,17264590.975312002
2021-07-28,0.5604,13486371.839652
2021-07-29,0.5841,17487043.872902997
2021-07-30,0.5954,13323638.645434001
2021-07-31,0.6259,16470577.821533
2021-08-01,0.659,29336066.406
2021-08-02,0.6921,18661189.145553
2021-08-03,0.6463,13840153.942156
2021-08-04,0.6669,12748917.933414
2021-08-05,0.7006,19687957.363792
2021-08-06,0.703,19560055.08232
2021-08-07,0.7333,30348772.176981997
2021-08-08,0.6723,21338196.12324
2021-08-09,0.7071,24584735.837988
2021-08-10,0.7499,33305817.724621
2021-08-11,0.79,52687578.4275
2021-08-12,0.8804,64452417.165092
2021-08-13,0.9292,49289008.506412
2021-08-14,0.901,33293840.30701
2021-08-15,0.8975,18828636.318074998
2021-08-16,0.8552,26301954.170904
2021-08-17,0.869,65971774.06435
2021-08-18,0.8537,40304526.887514
2021-08-19,0.9842,46109741.733776
2021-08-20,1.042,62920049.93336
2021-08-21,0.9895,24532699.91965
2021-08-22,1.0746,35191315.593324
2021-08-23,1.0254,28540274.125740003
2021-08-24,0.9189,41378647.037247
2021-08-25,0.9512,38361078.129704006
2021-08-26,0.8648,41759692.160064
2021-08-27,0.9233,27047080.601646002
2021-08-28,0.9166,15217948.366287999
2021-08-29,0.9153,16117199.90784
2021-08-30,0.851,19325336.78039
2021-08-31,0.8561,26299252.866628
2021-09-01,0.9227,31375840.669386
2021-09-02,0.9064,24529803.85856
2021-09-03,0.9133,20691013.348433003
2021-09-04,0.951,25882715.460389998
2021-09-05,1.0237,39716105.647194
2021-09-06,1.0646,49420931.963961996
2021-09-07,0.8328,60514964.653152004
2021-09-08,0.823,44716935.92296
2021-09-09,0.8554,42360607.091166005
2021-09-10,0.808,26174254.458240002
2021-09-11,0.8732,22605073.608616
2021-09-12,0.9223,25636844.678193
2021-09-13,0.8405,23907181.689015
2021-09-14,0.8599,20124815.170877002
2021-09-15,0.9085,17707364.644935
2021-09-16,0.8563,22791015.51826
2021-09-17,0.8187,17142196.713921
2021-09-18,0.835,11589296.010699999
2021-09-19,0.814,10231662.092299998
2021-09-20,0.6999,31587949.434051
2021-09-21,0.6568,21247867.827264003
2021-09-22,0.7446,25128954.031146
2021-09-23,0.7341,16640450.567412
2021-09-24,0.693,44096984.02494
2021-09-25,0.6828,13429757.347223997
2021-09-26,0.6733,31284646.481717
2021-09-27,0.6616,16367331.152967999
2021-09-28,0.6284,12400059.113411998
2021-09-29,0.6331,11626844.552284
2021-09-30,0.6459,10492163.774862
2021-10-01,0.707,18103993.43172
2021-10-02,0.7264,13873613.806880001
2021-10-03,0.7372,15293946.437687999
2021-10-04,0.7157,13318499.2321
2021-10-05,0.7571,20231335.048267
2021-10-06,0.7178,19770097.825694
2021-10-07,0.7216,14031330.539248
2021-10-08,0.712,11950883.260799998
2021-10-09,0.744,11478651.16008
2021-10-10,0.6818,9730490.856506
2021-10-11,0.6799,9138961.925339999
2021-10-12,0.6759,11424101.259041999
2021-10-13,0.7074,12000585.674916001
2021-10-14,0.7161,11463658.879134
2021-10-15,0.8145,52994365.608825
2021-10-16,0.7995,47753499.949154995
2021-10-17,0.7768,19905856.170568004
2021-10-18,0.7691,14033805.508956
2021-10-19,0.78,13726787.6616
2021-10-20,0.874,38183042.34478
2021-10-21,0.9355,54275314.493214995
2021-10-22,0.9017,45686680.04606599
2021-10-23,0.8863,14135384.623098
2021-10-24,0.9398,32408923.756063998
2021-10-25,1.0375,78930852.136375
2021-10-26,1.0797,60907779.49618201
2021-10-27,0.9321,63476518.70289601
2021-10-28,0.9407,35330534.664469
2021-10-29,0.9713,36964762.74018
2021-10-30,0.9212,22081718.19392
2021-10-31,1.0453,70088916.55969599
2021-11-01,0.9925,34060241.333675
2021-11-02,0.9944,22034200.19504
2021-11-03,0.9887,34599846.910850994
2021-11-04,1.0535,49255981.15039001
2021-11-05,1.0667,60920770.445252
2021-11-06,1.0623,25984636.166619003
2021-11-07,1.1156,33948505.687468
2021-11-08,1.1355,33148012.486019995
2021-11-09,1.2083,107159565.75208099
2021-11-10,1.0867,58507993.386739
2021-11-11,1.111,38092626.60082
2021-11-12,1.0748,26765966.002264
2021-11-13,1.0965,16648284.566790001
2021-11-14,1.067,11619073.068679998
2021-11-15,1.0191,12000515.773997998
2021-11-16,0.9214,29617492.656799998
2021-11-17,0.9352,23156577.998568002
2021-11-18,0.867,26422660.90938
2021-11-19,0.9571,17470207.119321
2021-11-20,0.9662,9674134.737688
2021-11-21,0.9221,9028929.723582
2021-11-22,0.8771,22099330.056013
2021-11-23,0.9014,19349468.598158
2021-11-24,0.8667,14888768.811597
2021-11-25,0.9211,20052518.039059002
2021-11-26,0.8591,79766822.169606
2021-11-27,1.0355,91145904.38712001
2021-11-28,1.007,44505937.118329994
2021-11-29,0.9642,17313971.831682
2021-11-30,0.9239,15802171.449219001
2021-12-01,0.924,18482917.539240003
2021-12-02,0.899,9102053.5176
2021-12-03,0.8611,15407987.029421
2021-12-04,0.7356,23813469.136752002
2021-12-05,0.6881,14852176.282587001
2021-12-06,0.7062,20647024.847922
2021-12-07,0.6898,11239869.366648
2021-12-08,0.7642,20145406.364967998
2021-12-09,0.6843,11226578.323266
2021-12-10,0.6399,10097732.709099
2021-12-11,0.6711,5599379.195556
2021-12-12,0.685,6580177.3149500005
2021-12-13,0.5983,13100381.131692
2021-12-14,0.6386,11466027.90893
2021-12-15,0.64,16089050.9056
2021-12-16,0.6141,12077507.119554
2021-12-17,0.5896,11020916.650832001
2021-12-18,0.6049,10291103.923782
2021-12-19,0.6482,12340133.052044
2021-12-20,0.6222,12560964.304332
2021-12-21,0.7097,19220959.353295002
2021-12-22,0.6944,13238175.987232001
2021-12-23,0.7336,15018599.92052
2021-12-24,0.697,9679538.23604
2021-12-25,0.7199,6506540.932229999
2021-12-26,0.7354,11224624.598516
2021-12-27,0.7375,10414706.491
2021-12-28,0.6659,13703181.398070002
2021-12-29,0.6329,11386811.748889001
2021-12-30,0.6466,9991160.752696
2021-12-31,0.6421,13281038.019614
2022-01-01,0.6647,9036418.380340999
2022-01-02,0.6765,10373586.110580001
2022-01-03,0.6582,16048978.53552
2022-01-04,0.6784,19321166.030592
2022-01-05,0.6298,26478213.156296004
2022-01-06,0.6365,18214028.388995
2022-01-07,0.5936,25156156.716656
2022-01-08,0.5732,15816052.732352002
2022-01-09,0.5841,10011298.483791
2022-01-10,0.5425,13004765.50415
2022-01-11,0.5691,12077550.275322001
2022-01-12,0.5942,9318966.947199998
2022-01-13,0.5711,13009445.076787002
2022-01-14,0.5792,7562835.7992
2022-01-15,0.5948,4653012.092868
2022-01-16,0.5892,3757883.8859759998
2022-01-17,0.5478,9154682.193557998
2022-01-18,0.5309,9996118.520256002
2022-01-19,0.5244,8278277.789531999
2022-01-20,0.5001,9455417.780414999
2022-01-21,0.4366,22359481.633465998
2022-01-22,0.4163,17267967.283864997
2022-01-23,0.4151,9189420.7048
2022-01-24,0.3932,13566859.829707999
2022-01-25,0.4145,9923944.160899999
2022-01-26,0.4047,12644534.385174
2022-01-27,0.4054,8127414.528973999
2022-01-28,0.4141,7338968.343203
2022-01-29,0.4104,6520841.86536
2022-01-30,0.3997,6437524.001174
2022-01-31,0.409,7441490.15205
2022-02-01,0.4393,11851949.359035
2022-02-02,0.4048,7583391.081376
2022-02-03,0.4067,5231221.587711
2022-02-04,0.4406,9968817.938027998
2022-02-05,0.4481,8668777.533403
2022-02-06,0.473,6937497.342929999
2022-02-07,0.5065,14604446.598509999
2022-02-08,0.4741,12557903.618799001
2022-02-09,0.4877,7903549.537283
2022-02-10,0.4615,8993396.50937
2022-02-11,0.4181,8717496.645243
2022-02-12,0.4191,6427899.587405999
2022-02-13,0.4057,5215964.24482
2022-02-14,0.4041,5811087.9343139995
2022-02-15,0.4932,23127227.624664
2022-02-16,0.4872,15930183.394272001
2022-02-17,0.4369,11023665.973183
2022-02-18,0.4126,8922452.319378002
2022-02-19,0.4172,4264892.233392
2022-02-20,0.3917,5108620.899331
2022-02-21,0.3572,12529164.00626
2022-02-22,0.3823,8752269.064248
2022-02-23,0.3536,6346302.26464
2022-02-24,0.3618,21677718.421782
2022-02-25,0.3611,9793457.646625
2022-02-26,0.3486,6502541.7395399995
2022-02-27,0.3363,7777100.743383
2022-02-28,0.3772,9490005.247583998
2022-03-01,0.3753,9021855.363669
2022-03-02,0.3742,8041434.281995999
2022-03-03,0.3645,5284063.796715
2022-03-04,0.34,5319589.3536
2022-03-05,0.3471,3171667.374408
2022-03-06,0.329,3728473.61824
2022-03-07,0.3298,7429915.859258
2022-03-08,0.3352,10379477.868288001
2022-03-09,0.3463,11076561.747097
2022-03-10,0.3255,6643061.96526
2022-03-11,0.3189,6340362.197424
2022-03-12,0.3185,1842584.53743
2022-03-13,0.3341,12884254.163274001
2022-03-14,0.3655,11849257.78307
2022-03-15,0.4259,30998689.892808
2022-03-16,0.455,27306120.737350002
2022-03-17,0.4095,12895424.975159999
2022-03-18,0.4108,14454606.974027999
2022-03-19,0.4109,11669856.332861999
2022-03-20,0.3903,10120483.476741
2022-03-21,0.4118,10219504.355969999
2022-03-22,0.4105,10308308.41748
2022-03-23,0.4244,12177909.76844
2022-03-24,0.44,12471647.5928
2022-03-25,0.409,14756122.9418
2022-03-26,0.4109,6305716.685289
2022-03-27,0.4313,8554735.904204
2022-03-28,0.4334,24473018.92068
2022-03-29,0.4882,26124858.59418
2022-03-30,0.4825,20991513.0845
2022-03-31,0.4698,26589876.092334
2022-04-01,0.4854,21789729.84981
2022-04-02,0.5192,32279560.938768
2022-04-03,0.5174,18512468.240604
2022-04-04,0.4926,15078975.432582
2022-04-05,0.4596,9765246.050339999
2022-04-06,0.4125,14465691.64425
2022-04-07,0.4315,9949024.85482
2022-04-08,0.3944,12570842.716624
2022-04-09,0.4059,3658041.9136799998
2022-04-10,0.3842,4398882.962304
2022-04-11,0.3489,10651013.896773
2022-04-12,0.373,6722189.14413
2022-04-13,0.3838,7026239.1848019995
2022-04-14,0.3639,5534209.591506
2022-04-15,0.3686,2842568.7169979997
2022-04-16,0.3622,3407583.2901620003
2022-04-17,0.3486,2488441.303824
2022-04-18,0.3623,5919281.721199
2022-04-19,0.3612,6380388.814632
2022-04-20,0.363,11693714.807939999
2022-04-21,0.354,13983579.958199998
2022-04-22,0.3536,4482369.68296
2022-04-23,0.354,3347028.92184
2022-04-24,0.3574,3709291.1216659998
2022-04-25,0.3604,6140138.6779040005
2022-04-26,0.3371,19607430.537651002
2022-04-27,0.3677,8753670.269823
2022-04-28,0.3583,17989632.822266
2022-04-29,0.3503,10192964.254709
2022-04-30,0.3067,9226017.172429
2022-05-01,0.3153,5596804.478493
2022-05-02,0.3077,4745289.616967
2022-05-03,0.3191,8466164.503569
