time,PriceUSD,volume_reported_spot_usd_1d
2022-09-20,1.527,118224.6156
2022-09-21,1.471,98290.36654000002
2022-09-22,1.539,53732.476709999995
2022-09-23,1.581,104888.10909
2022-09-24,1.646,298253.63629999995
2022-09-25,1.796,567522.51204
2022-09-26,1.784,765859.67536
2022-09-27,1.739,276481.0015
2022-09-28,1.716,136087.94628
2022-09-29,1.673,117357.50362
2022-09-30,1.698,166093.67352
2022-10-01,1.65,71818.3125
2022-10-02,1.552,69778.4632
2022-10-03,1.708,147995.33056
2022-10-04,1.8,309370.734
2022-10-05,1.918,618161.98262
2022-10-06,1.835,475015.60514999996
2022-10-07,1.992,374892.16896
2022-10-08,1.989,315241.94052
2022-10-09,1.923,231838.43763
2022-10-10,1.751,215255.89311999996
2022-10-11,1.827,271578.12381
2022-10-12,1.789,86836.84348
2022-10-13,1.742,790807.06484
2022-10-14,1.762,181832.28586
2022-10-15,1.757,147708.44235
2022-10-16,1.909,253364.82807000002
2022-10-17,2.102,792207.79274
2022-10-18,2.09,327224.57019999996
2022-10-19,1.977,266755.60173
2022-10-20,1.851,487973.65103999997
2022-10-21,1.847,300556.06714
2022-10-22,1.914,326644.15872
2022-10-23,1.93,369181.8642
2022-10-24,1.893,193125.73407
2022-10-25,1.96,490643.0172
2022-10-26,2.058,334928.46912
2022-10-27,2.037,511060.18004999997
2022-10-28,2.05,273537.56799999997
2022-10-29,2.303,1127332.41012
2022-10-30,2.203,558051.46899
2022-10-31,2.439,1244106.02223
2022-11-01,2.502,1355063.88456
2022-11-02,2.518,2032920.8972
2022-11-03,2.641,1814197.52703
2022-11-04,2.717,1256449.1811300002
2022-11-05,2.682,904875.36696
2022-11-06,2.613,862381.0107900001
2022-11-07,2.681,990169.01144
2022-11-08,1.985,1844363.20655
2022-11-09,1.453,1011793.6875900001
2022-11-10,1.792,364435.20512
2022-11-11,1.76,355591.6144
2022-11-12,1.708,182941.24968
2022-11-13,1.819,398472.06814
2022-11-14,1.762,354729.34638
2022-11-15,1.802,111322.29816
2022-11-16,1.737,87480.13149
2022-11-17,1.716,80333.27016
2022-11-18,1.737,90422.69634000001
2022-11-19,1.704,92757.03551999999
2022-11-20,1.569,100144.76697
2022-11-21,1.563,97730.99829
2022-11-22,1.604,117203.28552000002
2022-11-23,1.699,228242.47069999998
2022-11-24,1.665,67889.45925
2022-11-25,1.613,63619.1395
2022-11-26,1.605,44167.52955
2022-11-27,1.576,92108.72112
2022-11-28,1.504,73379.1824
2022-11-29,1.611,177906.46752
2022-11-30,1.762,388359.6008
2022-12-01,1.692,118600.41851999999
2022-12-02,1.685,83862.16355000001
2022-12-03,1.608,130001.44536
2022-12-04,1.63,50201.1475
2022-12-05,1.649,74171.11305
2022-12-06,1.654,105513.78739999999
2022-12-07,1.586,63035.23694
2022-12-08,1.64,127731.23599999999
2022-12-09,1.648,37219.10768
2022-12-10,1.671,113259.00978
2022-12-11,1.615,70610.07715000001
2022-12-12,1.667,84975.24165
2022-12-13,1.655,147591.62565
2022-12-14,1.611,146004.97832999998
2022-12-15,1.575,44410.2435
2022-12-16,1.406,121292.66739999999
2022-12-17,1.433,122180.13074000001
2022-12-18,1.409,25499.941100000004
2022-12-19,1.308,41109.9168
2022-12-20,1.378,30002.504999999997
2022-12-21,1.324,66158.4264
2022-12-22,1.328,33341.65776
2022-12-23,1.317,23168.24256
2022-12-24,1.315,24755.6903
2022-12-25,1.306,21173.76008
2022-12-26,1.315,29904.678
2022-12-27,1.27,61970.3739
2022-12-28,1.252,66439.258
2022-12-29,1.284,35785.799040000005
2022-12-30,1.273,30235.990479999997
2022-12-31,1.271,29238.18568
2023-01-01,1.277,33273.56308
2023-01-02,1.298,46620.62944
2023-01-03,1.303,40974.43769
2023-01-04,1.356,61679.124480000006
2023-01-05,1.353,57382.745969999996
2023-01-06,1.37,48933.7422
2023-01-07,1.376,40326.872319999995
2023-01-08,1.417,33662.30868
2023-01-09,1.441,71703.52596
2023-01-10,1.443,48331.29366
2023-01-11,1.457,89078.38654
2023-01-12,1.518,130449.13265999999
2023-01-13,1.563,81294.08391
2023-01-14,1.623,371823.18129000004
2023-01-15,1.655,146505.9291
2023-01-16,1.64,162125.0044
2023-01-17,1.601,68172.8214
2023-01-18,1.488,345451.3272
2023-01-19,1.537,103290.47304999999
2023-01-20,1.656,97731.72144
2023-01-21,1.733,261815.08926
2023-01-22,1.945,1031307.1333500001
2023-01-23,2.001,476870.69619
2023-01-24,1.84,349659.76320000004
2023-01-25,2.253,1490164.1874300002
2023-01-26,2.588,1817637.72636
2023-01-27,2.567,2027435.3647700003
2023-01-28,2.502,1277125.53372
2023-01-29,2.544,804903.3086400001
2023-01-30,2.801,3040482.699
2023-01-31,3.144,2289311.90016
2023-02-01,3.86,4346763.2156
2023-02-02,3.628,2506386.3130400004
2023-02-03,3.746,2632876.62444
2023-02-04,3.894,1996720.57794
2023-02-05,3.622,1817463.96608
2023-02-06,3.477,1604605.38918
2023-02-07,4.145,5195459.06
2023-02-08,3.727,3683301.52132
2023-02-09,3.295,4067694.7657999997
2023-02-10,3.131,3012264.93429
2023-02-11,3.387,807354.58368
2023-02-12,3.371,2014802.13538
2023-02-13,3.273,1281371.25204
2023-02-14,3.479,1359682.81904
2023-02-15,3.947,2220485.57744
2023-02-16,3.658,2079124.05366
2023-02-17,4.032,2677147.32096
2023-02-18,4.419,3088851.6578399995
2023-02-19,4.164,1396761.58344
2023-02-20,4.223,2248292.93628
2023-02-21,3.945,1838277.2136
2023-02-22,3.815,1962579.2532499998
2023-02-23,3.897,1998661.36563
2023-02-24,3.65,944804.5805
2023-02-25,3.436,586820.76472
2023-02-26,3.779,799570.15413
2023-02-27,3.652,1250250.8057600001
2023-02-28,3.511,753585.45116
2023-03-01,3.8,1043546.5
2023-03-02,3.757,782838.2003
2023-03-03,3.611,1027238.90001
2023-03-04,3.268,353292.59755999997
2023-03-05,3.351,488652.97353
2023-03-06,3.309,571335.11664
2023-03-07,3.179,655331.9349499999
2023-03-08,2.867,1123266.3738499999
2023-03-09,2.67,916754.646
2023-03-10,3.048,2302071.0372
2023-03-11,3.138,2518427.5374600003
2023-03-12,3.729,2119321.32687
2023-03-13,4.16,3379926.7008
2023-03-14,4.27,3617819.4149999996
2023-03-15,4.067,1896472.48049
2023-03-16,4.062,1059298.83996
2023-03-17,4.851,1928226.6095399999
2023-03-18,4.459,1633181.96678
2023-03-19,4.293,1095799.92696
2023-03-20,4.001,1168834.45558
2023-03-21,4.239,1610399.95749
2023-03-22,4.12,1951783.462
2023-03-23,4.241,1445804.95053
2023-03-24,4.191,1523336.4237300002
2023-03-25,3.833,1018941.91365
2023-03-26,4.065,667627.59195
2023-03-27,3.795,819163.2734999999
2023-03-28,4.182,1620078.8642400003
2023-03-29,4.352,1392115.93216
2023-03-30,4.677,2548133.8971
2023-03-31,4.743,995749.2618300001
2023-04-01,5.186,1729220.2548800001
2023-04-02,5.164,1375020.7587199998
2023-04-03,5.882,3065947.44388
2023-04-04,5.468,2055926.27916
2023-04-05,5.533,1168547.35734
2023-04-06,5.63,1671527.8579999998
2023-04-07,5.591,1135837.31269
2023-04-08,5.408,868643.6678400001
2023-04-09,5.717,509267.15848
2023-04-10,6.326,3005610.44846
2023-04-11,6.635,2809266.76295
2023-04-12,6.579,3141255.85353
2023-04-13,6.781,1689675.0686599999
2023-04-14,8.091,7898334.8425199995
2023-04-15,8.218,5059169.762080001
2023-04-16,9.291,5732755.39713
2023-04-17,9.069,8034537.622560001
2023-04-18,8.622,5307086.46834
2023-04-19,8.321,7858049.43239
2023-04-20,7.904,5439000.22848
2023-04-21,7.276,4170984.7534399997
2023-04-22,7.651,3576656.88674
2023-04-23,6.873,2690080.58463
2023-04-24,6.992,5440963.171680001
2023-04-25,8.268,6783146.159400001
2023-04-26,8.403,10292806.88607
2023-04-27,8.902,5586139.77628
2023-04-28,8.409,3637417.6420500004
2023-04-29,8.083,2689430.40108
2023-04-30,7.748,3078484.71476
2023-05-01,7.859,4836433.62976
2023-05-02,7.857,4156202.53845
2023-05-03,7.94,3921195.0432
2023-05-04,7.392,3127218.1248000003
2023-05-05,7.852,4342966.6404800005
2023-05-06,7.253,2279540.07531
2023-05-07,7.298,1951584.59876
2023-05-08,6.704,2696974.08208
2023-05-09,6.286,1567816.9697399999
2023-05-10,6.663,2775910.0759500004
2023-05-11,5.799,2836557.8279700004
2023-05-12,6.177,2575561.79646
2023-05-13,6.023,1396558.2500099998
2023-05-14,6.084,1549032.3950399999
2023-05-15,6.4,2114051.7120000003
2023-05-16,6.155,1736255.76385
2023-05-17,6.604,3924869.5340400003
2023-05-18,6.655,2411177.64195
2023-05-19,7.012,2500012.34104
2023-05-20,7.24,1999738.6076
2023-05-21,6.74,2103905.3562000003
2023-05-22,6.675,1546194.8639999998
2023-05-23,6.798,1505800.6431600002
2023-05-24,6.376,2106184.59008
2023-05-25,6.301,1683249.2660200002
2023-05-26,6.42,1982117.1557999998
2023-05-27,6.408,959175.9050400001
2023-05-28,7.088,2990591.996
2023-05-29,7.41,4328609.8908
2023-05-30,7.609,1809219.01804
2023-05-31,7.308,1485029.5941599999
2023-06-01,7.307,2023659.036
2023-06-02,7.881,3222647.4511200003
2023-06-03,7.948,1331523.19432
2023-06-04,7.81,1134558.6219
2023-06-05,7.086,4394583.504660001
2023-06-06,7.381,3451941.79902
2023-06-07,6.903,2081751.65406
2023-06-08,6.967,1152717.0426199997
2023-06-09,6.91,866846.1637
2023-06-10,5.71,3534552.2961000004
2023-06-11,5.732,1849727.0041999999
