time,PriceUSD,volume_reported_spot_usd_1d
2022-09-01,4.344,360575.4576
2022-09-02,4.178,913291.60209
2022-09-03,4.166,556492.1386760001
2022-09-04,4.24,400330.25088
2022-09-05,4.229,529081.199146
2022-09-06,4.069,1734401.64716
2022-09-07,4.375,2046901.26375
2022-09-08,4.688,2249068.993856
2022-09-09,4.814,2501714.17429
2022-09-10,4.813,1397174.1783109999
2022-09-11,4.896,1375456.9570560001
2022-09-12,5.093,3484790.275736
2022-09-13,4.418,2145701.383334
2022-09-14,4.518,974830.5666179999
2022-09-15,4.185,822551.58045
2022-09-16,4.206,647329.060806
2022-09-17,4.385,902744.1113649999
2022-09-18,3.918,863800.484418
2022-09-19,4.057,975119.6710770001
2022-09-20,3.821,807566.959156
2022-09-21,3.64,1114545.58852
2022-09-22,3.865,606400.52002
2022-09-23,3.788,906908.179224
2022-09-24,3.698,696392.645658
2022-09-25,3.648,403618.740096
2022-09-26,3.687,735614.271603
2022-09-27,3.617,1045817.9151149999
2022-09-28,3.576,702722.266776
2022-09-29,3.585,499403.66412
2022-09-30,3.557,465840.399256
2022-10-01,3.555,207913.29691499998
2022-10-02,3.478,277862.442232
2022-10-03,3.541,458665.98495199997
2022-10-04,3.621,748146.422547
2022-10-05,3.695,1013356.6321
2022-10-06,3.62,493389.34076
2022-10-07,3.55,305514.25315
2022-10-08,3.493,216012.579559
2022-10-09,3.52,160178.55392
2022-10-10,3.218,406260.85084
2022-10-11,3.171,679991.710209
2022-10-12,3.153,408248.42208
2022-10-13,3.038,1591863.3099739999
2022-10-14,3.003,815387.32275
2022-10-15,2.921,553754.706179
2022-10-16,3.001,399947.306345
2022-10-17,3.059,525981.853474
2022-10-18,2.963,319872.149463
2022-10-19,2.825,443945.3261
2022-10-20,2.87,438265.08061
2022-10-21,2.885,478119.30228
2022-10-22,2.92,189489.68576
2022-10-23,2.983,306245.441242
2022-10-24,2.917,581411.166064
2022-10-25,3.001,806584.5829369999
