time,PriceUSD,volume_reported_spot_usd_1d
2022-06-01,1.236,7970286.5113200005
2022-06-02,1.545,20455866.9603
2022-06-03,1.36,10568745.64
2022-06-04,1.394,8059268.5053199995
2022-06-05,1.167,6817124.22177
2022-06-06,1.318,6482627.60112
2022-06-07,1.107,6371295.73659
2022-06-08,0.73,7762939.9682
2022-06-09,0.824,8069730.386879999
2022-06-10,0.88,6191374.2704
2022-06-11,0.761,3267466.76724
2022-06-12,0.644,3735021.76012
2022-06-13,0.545,4590384.40015
2022-06-14,0.565,3629702.87155
2022-06-15,0.596,3216411.9824
2022-06-16,0.489,1561935.9416699999
2022-06-17,0.517,1493497.72968
2022-06-18,0.45,1304749.5119999999
2022-06-19,0.506,1149423.15356
2022-06-20,0.501,1427750.01042
2022-06-21,0.512,1530403.52256
2022-06-22,0.462,1635987.40998
2022-06-23,0.523,1462989.1604300002
2022-06-24,0.589,5037668.00109
2022-06-25,0.583,2585451.8750499994
2022-06-26,0.539,1732812.6338600002
2022-06-27,0.536,1369983.29328
2022-06-28,0.529,1576163.19695
2022-06-29,0.58,2882688.3629999994
2022-06-30,0.545,1178628.4123
2022-07-01,0.529,1468458.62238
2022-07-02,0.525,549760.39125
2022-07-03,0.521,647948.6105600001
2022-07-04,0.56,923206.4128
2022-07-05,0.524,736434.4941600001
2022-07-06,0.544,605273.0483200001
2022-07-07,0.574,754120.30456
2022-07-08,0.567,997652.5971299999
2022-07-09,0.571,254977.37200999996
2022-07-10,0.531,238780.58976000003
2022-07-11,0.482,677186.25186
2022-07-12,0.45,564709.9635000001
2022-07-13,0.472,889472.16696
2022-07-14,0.494,1003218.46534
2022-07-15,0.483,995353.5521999999
2022-07-16,0.522,1106674.94268
2022-07-17,0.579,2905769.4
2022-07-18,0.817,8933630.120429998
2022-07-19,0.721,2688483.546
2022-07-20,0.686,2861942.2169800005
2022-07-21,0.777,3328249.53111
2022-07-22,0.837,4169603.81187
2022-07-23,0.941,4534286.35834
2022-07-24,0.921,2182248.87978
2022-07-25,0.791,1487805.7978700001
2022-07-26,0.826,1924456.85166
2022-07-27,1.051,4728154.39419
2022-07-28,1.448,11492794.54888
2022-07-29,1.843,20849717.99207
2022-07-30,1.806,7912243.55544
2022-07-31,1.583,3525718.00728
2022-08-01,1.507,4120347.3825799995
2022-08-02,1.635,6569606.20395
2022-08-03,1.993,11820480.15001
2022-08-04,1.917,10837152.999540001
2022-08-05,1.947,6377257.82925
