time,PriceUSD,volume_reported_spot_usd_1d
2024-02-15,5.322,2961021.6297
2024-02-16,5.3,2198200.3340000003
2024-02-17,5.631,654818.68527
2024-02-18,5.8,1047505.578
2024-02-19,6.437,2507164.9604900004
2024-02-20,6.483,1726516.7090099996
2024-02-21,6.888,2839693.23624
2024-02-22,7.396,3262627.13796
2024-02-23,7.35,3055496.0625
2024-02-24,7.162,2309057.448
2024-02-25,7.213,1457691.47138
2024-02-26,7.66,2233851.2534
2024-02-27,7.184,1720081.93056
2024-02-28,8.06,2902472.495
2024-02-29,7.55,2120885.6755
2024-03-01,8.023,2336577.92362
2024-03-02,7.738,1828759.8431000002
2024-03-03,7.606,1084606.39674
2024-03-04,7.41,1575535.689
2024-03-05,6.971,2609337.66575
2024-03-06,9.198,5665594.5612
2024-03-07,10.057,4024047.9731300003
2024-03-08,10.34,4125377.2010000004
2024-03-09,12.43,7294661.471899999
2024-03-10,11.45,3732078.7229999998
2024-03-11,11.564,4303255.69716
2024-03-12,11.553,3637601.37918
2024-03-13,11.419,2851072.73943
2024-03-14,11.701,3085498.9393200004
2024-03-15,11.119,3614520.5999499997
2024-03-16,10.31,2958948.0397
2024-03-17,13.214,6172244.46818
2024-03-18,11.77,5318917.0243
2024-03-19,10.698,4794500.51514
2024-03-20,11.647,3689787.18697
2024-03-21,10.524,3282628.1891999994
2024-03-22,10.503,2009414.10933
2024-03-23,10.659,2431771.65363
2024-03-24,10.762,1467110.06316
2024-03-25,11.022,2491056.8694
2024-03-26,10.967,2453178.72877
2024-03-27,10.985,4397118.861199999
2024-03-28,11.147,1826158.3897000002
2024-03-29,10.81,1984167.0682
2024-03-30,10.544,1928954.6824
2024-03-31,10.394,1334494.39096
2024-04-01,9.956,2049649.88392
2024-04-02,9.302,2148912.87844
2024-04-03,9.16,1652189.2916
2024-04-04,9.495,1502363.7508499997
2024-04-05,9.108,1259720.01144
2024-04-06,9.457,738788.68931
2024-04-07,9.606,1014489.7560599999
2024-04-08,10.033,1137598.12612
2024-04-09,9.508,1099963.02528
2024-04-10,9.113,1273867.44862
2024-04-11,8.845,1051448.57895
2024-04-12,8.21,3084156.5313000004
2024-04-13,7.551,3030488.96661
2024-04-14,8.638,2141166.88156
2024-04-15,8.205,1498305.9424500002
2024-04-16,8.109,1293200.6958899999
2024-04-17,7.543,1127872.5813900002
2024-04-18,7.839,1130093.99217
2024-04-19,7.87,1444177.0309000001
2024-04-20,8.907,1053583.11063
2024-04-21,8.668,626014.92184
2024-04-22,9.182,880029.69144
2024-04-23,8.82,550035.8388
2024-04-24,8.22,982136.2038
2024-04-25,8.425,580209.6985
2024-04-26,7.918,528682.0887
2024-04-27,7.974,947392.77402
2024-04-28,7.856,646386.73072
2024-04-29,7.659,528465.6387
2024-04-30,7.181,1400044.6703400002
2024-05-01,7.519,983998.22137
2024-05-02,7.631,669463.5092600001
2024-05-03,7.98,697330.305
2024-05-04,8.476,1446356.6759200003
2024-05-05,9.41,1954685.5689
2024-05-06,9.563,1279505.20561
2024-05-07,9.894,2575819.39464
2024-05-08,9.55,1907355.8915000001
2024-05-09,10.628,2705458.366
2024-05-10,10.688,2124834.14592
2024-05-11,10.47,877100.6925
2024-05-12,10.354,835330.38278
2024-05-13,10.744,1225242.10704
2024-05-14,9.678,1575228.4435200002
2024-05-15,10.617,1396934.00457
2024-05-16,10.052,2140692.61672
2024-05-17,10.116,1481851.46556
2024-05-18,10.095,1280566.7001
2024-05-19,9.941,607245.8855900001
2024-05-20,10.934,1437371.2845799997
2024-05-21,11.145,1934630.34705
2024-05-22,10.605,1707642.1278
2024-05-23,10.157,1456689.92238
2024-05-24,9.997,1179636.003
2024-05-25,9.971,534008.57107
2024-05-26,9.77,680137.2799
2024-05-27,9.825,803412.1597499999
2024-05-28,9.796,837364.13716
2024-05-29,9.973,790059.8632400001
2024-05-30,9.705,603753.2907
2024-05-31,9.54,481860.53459999996
2024-06-01,9.669,633277.8266100001
2024-06-02,9.503,332928.57715
