time,PriceUSD,volume_reported_spot_usd_1d
2023-08-15,0.1819,1747473.6458
2023-08-16,0.2139,15081076.88937
2023-08-17,0.1725,5596441.4085
2023-08-18,0.1675,4075062.49275
2023-08-19,0.1599,2031721.18812
2023-08-20,0.1511,1680399.32814
2023-08-21,0.1487,1450556.2025100002
2023-08-22,0.1541,3563619.68651
2023-08-23,0.1526,2596215.9223
2023-08-24,0.1479,1462962.25644
2023-08-25,0.1392,1886283.86016
2023-08-26,0.1325,1136944.181
2023-08-27,0.1317,1219692.138
2023-08-28,0.1285,1528465.8146
2023-08-29,0.1469,5088109.62101
2023-08-30,0.1494,5583312.34884
2023-08-31,0.1323,2642391.7821
2023-09-01,0.1399,2818965.06425
2023-09-02,0.1312,2119733.74464
2023-09-03,0.1279,1093755.3699200002
2023-09-04,0.126,733906.2528
2023-09-05,0.1258,797712.2041
2023-09-06,0.1262,702196.08336
2023-09-07,0.1324,1867568.04112
2023-09-08,0.1271,632480.65053
2023-09-09,0.1251,375388.49574
2023-09-10,0.1203,865730.84178
2023-09-11,0.1158,837807.53424
2023-09-12,0.1167,451040.45856
2023-09-13,0.118,486373.61539999995
2023-09-14,0.1179,233365.34142
2023-09-15,0.1241,785775.16382
2023-09-16,0.1398,2842384.64742
2023-09-17,0.123,1259546.8878
2023-09-18,0.1238,920088.0994999999
2023-09-19,0.1253,382632.85767
2023-09-20,0.1244,885978.00668
2023-09-21,0.1237,702296.3592000001
2023-09-22,0.1239,343711.96881
2023-09-23,0.1218,305629.91424
2023-09-24,0.1184,431980.06752
2023-09-25,0.1185,213680.97749999998
2023-09-26,0.1176,272115.26327999996
2023-09-27,0.1167,251254.41147000002
2023-09-28,0.119,275309.4988
2023-09-29,0.1206,432860.70384
2023-09-30,0.1201,192549.90465
2023-10-01,0.1245,341125.67984999996
2023-10-02,0.1193,296247.38248000003
2023-10-03,0.1158,211171.35144
2023-10-04,0.1161,231775.20171
2023-10-05,0.1163,206092.53184
2023-10-06,0.1173,141987.4272
2023-10-07,0.1171,143924.9167
2023-10-08,0.1156,78362.93956
2023-10-09,0.1089,337444.73829
2023-10-10,0.1054,316205.09082
2023-10-11,0.103,168450.5672
2023-10-12,0.1018,247473.87598
2023-10-13,0.1037,209364.24392
2023-10-14,0.1028,126524.955
2023-10-15,0.1033,127599.92012
2023-10-16,0.1037,243115.20293
2023-10-17,0.0996,520475.87544000003
2023-10-18,0.1017,820550.5848
2023-10-19,0.0968,389209.09368
2023-10-20,0.0995,256564.94890000002
2023-10-21,0.103,176900.8932
2023-10-22,0.1054,389819.65498
2023-10-23,0.1091,357979.4655
2023-10-24,0.1101,542707.68351
2023-10-25,0.113,459362.6619
2023-10-26,0.1089,352662.03225
2023-10-27,0.1065,181753.14495
2023-10-28,0.1104,436511.47631999996
2023-10-29,0.1114,214963.48902
2023-10-30,0.1133,272307.47466999997
2023-10-31,0.1119,456004.00331999996
2023-11-01,0.116,486871.96359999996
2023-11-02,0.1103,579886.77491
2023-11-03,0.1113,510394.5426299999
2023-11-04,0.1151,300066.26398999995
2023-11-05,0.1172,766731.37752
2023-11-06,0.126,437802.6618
2023-11-07,0.1218,566701.64922
2023-11-08,0.1274,447069.45556000003
2023-11-09,0.1235,879155.0287
2023-11-10,0.1288,815448.7068
2023-11-11,0.1329,995334.4422299999
