time,PriceUSD,volume_reported_spot_usd_1d
2021-09-09,5.67e-05,114046675.02234721
2021-09-10,7.02e-06,26701737.2778078
2021-09-11,6.77e-06,11259827.7631688
2021-09-12,6.91e-06,5938383.1081679
2021-09-13,6.48e-06,5520130.89410232
2021-09-14,6.67e-06,5334952.23954825
2021-09-15,6.78e-06,9182014.318385761
2021-09-16,8.81e-06,299288619.89013493
2021-09-17,8.43e-06,215908064.35699698
2021-09-18,7.86e-06,69425415.79279889
2021-09-19,8.17e-06,68998624.92047401
2021-09-20,7.02e-06,51665192.33203926
2021-09-21,6.88e-06,38110983.42042656
2021-09-22,7.26e-06,32796096.57793722
2021-09-23,7.65e-06,34428643.0636914
2021-09-24,7.39e-06,49353934.40255924
2021-09-25,7.34e-06,25900097.16694618
2021-09-26,7.11e-06,20957802.11250687
2021-09-27,6.98e-06,20555024.53191644
2021-09-28,6.98e-06,21107863.10534812
2021-09-29,7.02e-06,17582839.43837148
2021-09-30,7.21e-06,24102510.554655958
2021-10-01,7.72e-06,31753988.743891362
2021-10-02,7.88e-06,39559585.98045088
2021-10-03,8.56e-06,75573917.21744688
2021-10-04,1.349e-05,654533746.6300584
2021-10-05,1.734e-05,1230393887.7512825
2021-10-06,2.794e-05,2130608335.0015461
2021-10-07,2.292e-05,2225885358.6010585
2021-10-08,2.727e-05,1448126018.6637979
2021-10-09,2.671e-05,738915937.789579
2021-10-10,2.616e-05,439718779.71039766
2021-10-11,3.066e-05,922844363.4329976
2021-10-12,2.906e-05,632186625.8408582
2021-10-13,2.91e-05,398070902.1096039
2021-10-14,2.742e-05,376208297.5892135
2021-10-15,2.526e-05,656819042.8415095
2021-10-16,2.572e-05,275707350.5330113
2021-10-17,2.775e-05,328273441.6755862
2021-10-18,2.867e-05,465870291.1192574
2021-10-19,2.803e-05,212241821.15809384
2021-10-20,2.925e-05,239810352.5997855
2021-10-21,2.747e-05,210356094.69284627
2021-10-22,2.794e-05,171628463.44887123
2021-10-23,3.388e-05,632059284.1176614
2021-10-24,3.607e-05,1989460001.7574987
2021-10-25,4.23e-05,1053662360.3061588
2021-10-26,4.798e-05,1517806547.8806477
2021-10-27,8.108e-05,5188003208.904098
2021-10-28,6.89e-05,3739829779.880424
2021-10-29,7.48e-05,1870247385.398665
2021-10-30,6.54e-05,1288453804.825214
2021-10-31,6.71e-05,1303573312.6736739
2021-11-01,7.16e-05,1198773115.2949405
2021-11-02,6.92e-05,918299925.7291049
2021-11-03,5.39e-05,1239401476.5909162
2021-11-04,4.93e-05,1682505561.174138
2021-11-05,6.28e-05,1644812173.4342375
2021-11-06,5.87e-05,734380340.481279
2021-11-07,5.69e-05,337257481.5748491
2021-11-08,5.52e-05,554007241.6214856
2021-11-09,5.49e-05,427051598.4554346
2021-11-10,5.04e-05,597049743.63006
2021-11-11,5.67e-05,630347053.1475537
2021-11-12,5.24e-05,294166440.0892044
2021-11-13,5.17e-05,184953556.3238539
2021-11-14,5.32e-05,278134107.4797516
