time,PriceUSD,volume_reported_spot_usd_1d
2021-06-17,39.25,7933129.6945
2021-06-18,36.842,17365908.193504
2021-06-19,35.2,9257692.048
2021-06-20,35.271,10129444.030233
2021-06-21,26.625,22268467.8675
2021-06-22,26.982,38820020.972166
2021-06-23,30.838,35328228.326782
2021-06-24,31.187,27539084.927796002
2021-06-25,28.646,18527170.864134002
2021-06-26,29.739,13970165.696466
2021-06-27,31.92,13773198.082560001
2021-06-28,33.013,15177987.123530999
2021-06-29,33.963,18781721.347347
2021-06-30,35.565,26841637.14318
2021-07-01,33.29,18040452.11753
2021-07-02,33.991,15587507.394608
2021-07-03,34.558,9047365.300277999
2021-07-04,34.332,8362864.5206160005
2021-07-05,32.92,8258506.51436
2021-07-06,34.217,11908306.378483
2021-07-07,36.718,33150332.725334004
2021-07-08,33.161,21756782.842338998
2021-07-09,33.335,11432748.175495
2021-07-10,31.722,10081555.97259
2021-07-11,32.2,7376537.579600001
2021-07-12,30.749,10174445.500713
2021-07-13,29.15,9874294.5532
2021-07-14,31.349,12055559.84087
2021-07-15,28.594,13960184.783162
2021-07-16,26.296,8859464.695031999
2021-07-17,26.764,9942872.890527999
2021-07-18,26.696,5010774.86264
2021-07-19,24.524,17270556.801348
2021-07-20,23.472,16076969.092512
2021-07-21,26.691,17307326.430786
2021-07-22,27.713,14798576.747381002
2021-07-23,28.539,13518424.154025
2021-07-24,28.65,11680657.859249998
2021-07-25,28.253,12718927.290124
2021-07-26,28.196,34094276.633928
2021-07-27,28.158,19824068.546022
2021-07-28,27.899,16741045.20403
2021-07-29,31.295,18927262.942500003
2021-07-30,32.41,32269300.930159993
2021-07-31,36.759,33326383.707096003
2021-08-01,34.198,22557365.726857997
2021-08-02,33.187,24266059.61164
2021-08-03,34.116,27153043.567188
2021-08-04,35.794,26241112.403989997
2021-08-05,37.398,31076395.748382006
2021-08-06,39.513,28037496.442065
2021-08-07,39.516,23743056.023819998
2021-08-08,37.689,14443980.677298
2021-08-09,38.676,18586738.850196
2021-08-10,40.691,25955050.783935003
2021-08-11,41.65,29387010.1588
2021-08-12,41.102,31726145.097219996
2021-08-13,44.9,40382296.565299995
2021-08-14,44.178,15765807.675401999
2021-08-15,53.556,107315639.29927199
2021-08-16,62.055,247195731.71223003
2021-08-17,64.169,298692699.80526894
2021-08-18,72.736,384407041.928416
2021-08-19,72.831,202521367.738899
2021-08-20,78.746,176189682.776938
2021-08-21,73.937,115430473.531178
2021-08-22,72.809,66968045.85007899
2021-08-23,75.655,102420681.19179
2021-08-24,70.591,156230565.37906
2021-08-25,71.986,119790897.027566
2021-08-26,74.823,232533204.00790197
2021-08-27,88.053,258723518.95244402
2021-08-28,96.246,201428895.38112
2021-08-29,94.287,130354766.963622
2021-08-30,110.347,528720470.11036295
2021-08-31,108.29,710113675.65775
2021-09-01,110.671,380990428.583787
2021-09-02,128.346,425008509.338496
2021-09-03,146.524,670935921.048092
2021-09-04,138.998,358829641.5322859
2021-09-05,142.138,262729108.551562
2021-09-06,164.316,511414233.33967197
2021-09-07,173.4,1595269082.9094
2021-09-08,191.03,1290739760.23972
2021-09-09,187.908,1228304955.0282838
2021-09-10,179.51,720469851.66824
2021-09-11,179.122,472638450.615018
2021-09-12,174.272,282489727.408
2021-09-13,169.797,694437146.125497
2021-09-14,158.64,673016293.6176
2021-09-15,158.433,412688721.119994
2021-09-16,152.043,312744097.453494
2021-09-17,147.592,554153307.4203601
2021-09-18,169.336,668914341.1422241
2021-09-19,152.842,361525645.92006606
2021-09-20,132.567,606696389.453469
2021-09-21,124.3,577649479.0638
2021-09-22,148.197,681185004.636927
2021-09-23,150.034,330611492.472726
2021-09-24,139.308,410816658.660876
2021-09-25,136.117,158552238.017113
2021-09-26,135.698,202207370.210582
