time,PriceUSD,volume_reported_spot_usd_1d
2023-05-18,1.1416,242486.00024
2023-05-19,1.1312,231195.33472
2023-05-20,1.1249,174172.20415
2023-05-21,1.0748,231269.44512
2023-05-22,1.0499,239817.31808000003
2023-05-23,1.0536,465843.65592000005
2023-05-24,0.9803,571667.04256
2023-05-25,0.982,192020.86920000002
2023-05-26,0.9909,197849.83211999998
2023-05-27,1.0001,143903.3889
2023-05-28,1.0623,539910.7881
2023-05-29,1.0407,1322848.75608
2023-05-30,1.0019,1130107.23179
2023-05-31,0.9741,654433.40199
2023-06-01,0.9467,325196.08883
2023-06-02,0.9421,927232.2488500001
2023-06-03,0.9341,291860.4791
2023-06-04,0.9605,324515.97075
2023-06-05,0.8184,1560149.1470400002
2023-06-06,0.8317,1008206.7008
2023-06-07,0.7576,511759.40608000004
2023-06-08,0.7304,624114.89448
2023-06-09,0.7389,450583.58447999996
2023-06-10,0.6104,1381543.0412
2023-06-11,0.605,518175.119
2023-06-12,0.6622,773979.42622
2023-06-13,0.6979,1416412.1275499999
2023-06-14,0.6503,688421.56145
2023-06-15,0.6482,368299.20232
2023-06-16,0.7075,839309.7970000001
2023-06-17,0.7504,1597682.5681599998
2023-06-18,0.7177,615528.15623
2023-06-19,0.7844,682359.9140799999
2023-06-20,0.8183,1830319.5140300002
2023-06-21,0.8307,2392430.45418
2023-06-22,0.8038,1920392.6611199998
2023-06-23,0.7986,1564715.6672399999
2023-06-24,0.7535,782737.23165
2023-06-25,0.745,548532.3994999999
2023-06-26,0.7255,390781.28859999997
2023-06-27,0.7213,774484.0456800001
2023-06-28,0.6638,758136.2025199999
2023-06-29,0.6798,1557483.2539199998
2023-06-30,0.6889,1453151.53755
2023-07-01,0.6888,334258.24656
2023-07-02,0.691,475124.75909999997
2023-07-03,0.7,1470512.54
2023-07-04,0.6858,837720.4733999999
2023-07-05,0.6627,512900.84001
2023-07-06,0.6479,408658.71365000005
2023-07-07,0.6608,340759.3616
2023-07-08,0.6526,161719.04398
2023-07-09,0.6582,130842.78816
2023-07-10,0.6551,452285.42916999996
2023-07-11,0.656,268532.3536
2023-07-12,0.656,451221.4
2023-07-13,0.6984,1342439.47728
2023-07-14,0.6806,2164586.63764
