time,PriceUSD,volume_reported_spot_usd_1d
2023-11-01,2.534,513538.94493999996
2023-11-02,2.399,2891395.42172
2023-11-03,2.394,3270573.6336
2023-11-04,2.431,1328228.6303
2023-11-05,2.312,1564293.3043999998
2023-11-06,2.365,856222.21135
2023-11-07,2.341,2930882.72195
2023-11-08,2.372,1634621.3649199998
2023-11-09,2.458,4257171.66602
2023-11-10,3.182,10400594.09934
2023-11-11,3.96,19387350.8136
2023-11-12,4.625,17479134.2025
2023-11-13,4.363,30853430.765080005
2023-11-14,5.993,34879273.1846
2023-11-15,5.839,20283358.561740004
2023-11-16,5.759,21191590.52478
2023-11-17,7.069,27380801.633199997
2023-11-18,7.15,14487146.602500001
2023-11-19,6.794,10819466.26522
2023-11-20,5.974,14000495.5436
2023-11-21,5.012,17882608.001999997
2023-11-22,6.109,16980256.471669998
2023-11-23,5.64,6376623.197999999
2023-11-24,5.526,6877840.41072
2023-11-25,5.95,6229965.588
2023-11-26,5.445,5426562.19545
2023-11-27,5.885,8082517.9677
2023-11-28,6.241,11163331.183929998
2023-11-29,6.019,9910486.64125
2023-11-30,6.385,8258736.928149999
2023-12-01,7.105,12753553.51025
2023-12-02,8.861,23774552.393030003
2023-12-03,8.588,12902340.93564
2023-12-04,8.947,27638900.259719994
2023-12-05,10.158,27325577.97894
2023-12-06,9.606,31468525.079460002
2023-12-07,9.5,31925378.615
2023-12-08,9.294,33406170.22938
2023-12-09,9.322,25575968.12326
2023-12-10,9.835,14261698.782450002
2023-12-11,10.803,41601909.10473
2023-12-12,12.089,43835664.67896
2023-12-13,12.139,41368543.25708
2023-12-14,13.925,44523810.3175
2023-12-15,13.094,40938978.2659
2023-12-16,13.101,38760016.74006
2023-12-17,12.697,20466400.06601
2023-12-18,12.905,46052389.26845
2023-12-19,11.727,27704210.863769997
2023-12-20,13.004,46510503.41211999
2023-12-21,12.869,31885746.636189997
2023-12-22,12.411,18288189.21069
2023-12-23,12.283,13531139.010279998
2023-12-24,14.131,48770306.87555
2023-12-25,13.727,22141942.42421
2023-12-26,12.708,18311345.683560003
2023-12-27,12.662,16849865.080360003
2023-12-28,11.838,11172978.92322
2023-12-29,12.379,14472834.937690001
2023-12-30,11.894,8641976.53684
2023-12-31,11.861,10653663.591160001
2024-01-01,13.998,24123104.18988
2024-01-02,12.783,22106066.55126
2024-01-03,12.204,25167226.7052
2024-01-04,15.63,56247937.644600004
2024-01-05,15.622,34361542.56688
2024-01-06,14.349,27415791.87021
2024-01-07,14.338,14005685.593159998
2024-01-08,14.22,36021590.3736
2024-01-09,14.95,36427354.18399999
2024-01-10,16.307,35258658.334309995
2024-01-11,15.975,26302958.5905
2024-01-12,16.382,32381396.915620003
2024-01-13,18.497,34390135.32181
2024-01-14,18.038,33030869.39386
2024-01-15,18.995,38798508.498600006
2024-01-16,18.805,22254040.094
2024-01-17,18.113,16244155.72352
2024-01-18,16.907,20851367.764369998
2024-01-19,17.852,34835468.60196
2024-01-20,17.661,10937326.78521
2024-01-21,16.841,6509478.97688
2024-01-22,15.223,26628723.296630003
2024-01-23,16.435,42979234.40434999
2024-01-24,16.355,22730580.842350002
2024-01-25,15.136,13956787.84192
2024-01-26,16.506,16397520.58728
2024-01-27,17.056,11202710.49248
2024-01-28,17.024,13382663.096320001
2024-01-29,17.955,16197632.469899999
2024-01-30,17.856,12996487.27872
2024-01-31,16.196,13321376.818800002
2024-02-01,16.931,18020663.922100004
2024-02-02,17.663,10061535.59993
2024-02-03,17.729,9335892.12604
2024-02-04,17.346,9085978.59834
2024-02-05,17.709,8059081.31637
2024-02-06,17.44,8004004.462400001
2024-02-07,18.816,14299981.05984
2024-02-08,20.142,27914075.105040003
2024-02-09,19.738,17740865.7364
2024-02-10,19.872,19758092.90112
2024-02-11,19.381,11713306.40479
2024-02-12,19.713,19475815.94382
2024-02-13,19.101,11014509.70671
2024-02-14,19.238,12684143.4069
2024-02-15,18.267,14656438.67238
2024-02-16,18.556,10103232.452240001
2024-02-17,18.461,14416582.027169999
2024-02-18,18.682,7463322.6214
2024-02-19,18.736,10051881.42448
2024-02-20,17.962,11761614.05594
2024-02-21,17.359,11015624.920440001
2024-02-22,16.926,8632246.459199999
2024-02-23,16.354,15334650.273799999
2024-02-24,17.042,6786282.208920001
2024-02-25,16.746,7075414.252739999
2024-02-26,17.357,12207710.43919
2024-02-27,17.02,16175696.1786
2024-02-28,16.513,32386681.53609
2024-02-29,16.518,17924080.04898
2024-03-01,17.001,12683355.825870002
2024-03-02,16.765,7659615.3298
2024-03-03,16.39,11900726.224200001
2024-03-04,15.667,19246849.80873
2024-03-05,15.6,32936163.155999996
2024-03-06,16.238,12479709.70384
2024-03-07,16.723,11445305.81838
2024-03-08,16.199,11499213.450190002
2024-03-09,16.734,10396307.748360002
2024-03-10,16.061,7650852.33054
2024-03-11,16.514,12194840.9158
2024-03-12,17.947,43240308.862909995
2024-03-13,17.259,14935541.47041
2024-03-14,16.515,15882227.4447
2024-03-15,15.333,14683252.93191
2024-03-16,13.74,15583787.5002
2024-03-17,14.182,11468397.39976
2024-03-18,12.894,11785329.91146
2024-03-19,13.71,30384728.272800006
2024-03-20,14.847,21355037.98869
2024-03-21,14.794,13310310.627640001
2024-03-22,13.8,8608913.892
2024-03-23,13.356,8434681.29
2024-03-24,13.661,6001413.09034
2024-03-25,14.084,7110302.04808
2024-03-26,13.864,7770258.061520001
2024-03-27,13.929,11533532.08842
2024-03-28,14.166,14243559.69996
2024-03-29,15.246,23206751.34624
2024-03-30,14.453,7601480.917049999
2024-03-31,14.315,6977860.062949999
2024-04-01,13.161,13471299.26598
2024-04-02,12.061,9803552.76124
2024-04-03,11.94,7660928.5914
2024-04-04,12.308,8241571.9418399995
2024-04-05,11.836,4144590.2234000005
2024-04-06,12.04,2899557.9228
2024-04-07,12.215,3535595.71575
2024-04-08,12.473,8007248.778150001
2024-04-09,11.555,3714581.8057500003
2024-04-10,11.433,4690747.13187
2024-04-11,10.886,3700364.0035800003
2024-04-12,8.826,12780171.564000001
